"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"TCORP","TARIQ CORPORATION LIMITED","46,611.00"," 833,322.95 ","46,611.00"," 833,322.95 ","100.00 ","100.00 "
"TCORPCPS","TARIQ CORPORATION LTD-CUM&CONV.PREF.SH.","424.00"," 3,396.90 ","424.00"," 3,396.90 ","100.00 ","100.00 "
"TELE","TELECARD LIMITED","36,877,618.00"," 472,270,306.24 ","13,985,158.00"," 180,948,052.43 ","37.92 ","38.31 "
"TGL","TARIQ GLASS INDUSTRIES LTD.","55,772.00"," 13,658,064.06 ","40,378.00"," 9,896,963.23 ","72.40 ","72.46 "
"THALL","THAL LIMITED","6,471.00"," 3,734,235.25 ","6,403.00"," 3,694,531.25 ","98.95 ","98.94 "
"THCCL","THATTA CEMENT COMPANY LIMITED","25,305,954.00"," 1,882,008,070.22 ","14,118,502.00"," 1,047,542,470.36 ","55.79 ","55.66 "
"TICL","THE THAL INDUSTRIES CORPORATION LIMITED","89.00"," 55,988.47 ","47.00"," 30,216.72 ","52.81 ","53.97 "
"TOMCL","THE ORGANIC MEAT COMPANY LIMITED","1,366,464.00"," 84,932,853.74 ","983,707.00"," 61,167,309.50 ","71.99 ","72.02 "
"TOWL","TOWELLERS LIMITED","6,475.00"," 1,007,626.66 ","6,275.00"," 975,658.66 ","96.91 ","96.83 "
"TPL","TPL CORP LIMITED","432,122.00"," 3,434,437.80 ","391,267.00"," 3,109,533.74 ","90.55 ","90.54 "
"TPLI","TPL INSURANCE LIMITED","39,628.00"," 800,399.09 ","38,433.00"," 775,721.59 ","96.98 ","96.92 "
"TPLL","TPL LIFE INSURANCE LIMITED","272.00"," 10,085.12 ","270.00"," 10,009.20 ","99.26 ","99.25 "
"TPLP","TPL PROPERTIES LIMITED","4,884,881.00"," 53,335,565.08 ","3,010,424.00"," 33,106,313.08 ","61.63 ","62.07 "
"TPLRF1","TPL REIT FUND I","39,079.00"," 502,256.36 ","39,052.00"," 501,909.41 ","99.93 ","99.93 "
"TPLT","TPL TRAKKER LIMITED","28,921.00"," 216,725.46 ","24,184.00"," 181,133.97 ","83.62 ","83.58 "
"TREET","TREET CORPORATION LIMITED","26,010,153.00"," 847,003,535.00 ","12,606,928.00"," 417,901,537.20 ","48.47 ","49.34 "
"TRG","TRG PAKISTAN LIMITED  -  CLASS - (A)","1,370,424.00"," 98,837,714.38 ","944,108.00"," 68,059,532.86 ","68.89 ","68.86 "
"TRIPF","TRI-PACK FILMS LIMITED","11,991.00"," 1,618,606.17 ","9,110.00"," 1,232,721.44 ","75.97 ","76.16 "
"TRSM","TRUST MODARABA","1,756,296.00"," 112,269,570.85 ","1,137,165.00"," 71,021,159.70 ","64.75 ","63.26 "
"TSBL","TRUST SECURITIES AND BROKERAGE LTD.","79,521.00"," 1,091,058.75 ","79,515.00"," 1,090,986.75 ","99.99 ","99.99 "
"TSMF","TRI-STAR MUTUAL FUND LIMITED","157,515.00"," 2,748,883.52 ","145,515.00"," 2,539,603.52 ","92.38 ","92.39 "
