"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"ALAC","ASKARI LIFE ASSURANCE COMPANY LTD.","4,257,277.00"," 53,696,989.59 ","2,802,303.00"," 35,670,653.27 ","65.82 ","66.43 "
"ALIFE","ADAMJEE LIFE ASSURANCE COMPANY LIMITED","1,354.00"," 44,711.24 ","1,249.00"," 41,261.28 ","92.25 ","92.28 "
"ALNRS","AL-NOOR SUGAR MILLS LIMITED","871.00"," 88,501.80 ","870.00"," 88,405.68 ","99.89 ","99.89 "
"ALTN","ALTERN ENERGY LTD.","204,506.00"," 2,279,046.90 ","194,970.00"," 2,173,143.87 ","95.34 ","95.35 "
"AMBL","APNA MICROFINANCE BANK LIMITED","4,235.00"," 44,140.18 ","3,582.00"," 37,626.09 ","84.58 ","85.24 "
"AMTEX","AMTEX LIMITED","12,039,602.00"," 61,112,149.24 ","6,671,113.00"," 34,022,869.60 ","55.41 ","55.67 "
"ANL","AZGARD NINE LIMITED","244,228.00"," 2,779,155.41 ","234,594.00"," 2,669,352.20 ","96.06 ","96.05 "
"ANSM","ANSARI SUGAR MILLS LIMITED","3,082.00"," 43,777.79 ","3,081.00"," 43,763.10 ","99.97 ","99.97 "
"ANTM","AN TEXTILE MILLS LIMITED","159.00"," 5,897.35 ","143.00"," 5,312.35 ","89.94 ","90.08 "
"APL","ATTOCK PETROLEUM LIMITED","85,759.00"," 45,649,123.01 ","66,988.00"," 35,658,904.84 ","78.11 ","78.12 "
"ARCTM","ARCTIC TEXTILE MILLS LIMITED","822.00"," 25,037.80 ","822.00"," 25,037.80 ","100.00 ","100.00 "
"ARPAK","ARPAK INTERNATIONAL INVESTMENT LIMITED","429.00"," 27,127.76 ","424.00"," 26,823.84 ","98.83 ","98.88 "
"ARPL","ARCHROMA PAKISTAN LIMITED","2,148.00"," 926,124.17 ","2,148.00"," 926,124.17 ","100.00 ","100.00 "
"ARUJ","ARUJ INDUSTRIES LIMITED","346,386.00"," 3,569,751.94 ","282,393.00"," 2,921,814.49 ","81.53 ","81.85 "
"ASC","AL SHAHEER CORPORATION LIMITED","1,445,069.00"," 22,942,268.90 ","897,332.00"," 14,283,264.16 ","62.10 ","62.26 "
"ASHT","ASHFAQ TEXTILE MILLS LIMITED","3,080.00"," 67,608.13 ","2,921.00"," 64,019.35 ","94.84 ","94.69 "
"ASL","AISHA STEEL MILLS LIMITED","1,543,824.00"," 20,555,420.20 ","1,272,604.00"," 16,962,769.96 ","82.43 ","82.52 "
"ASLCPS","AISHA STEEL LTD.-CONV.CUM. PREFR. SHARES","560.00"," 86,800.00 ","560.00"," 86,800.00 ","100.00 ","100.00 "
"ASTL","AMRELI STEELS LIMITED","1,512,207.00"," 34,381,114.11 ","1,295,608.00"," 29,507,043.86 ","85.68 ","85.82 "
"ASTM","ASIM TEXTILE MILLS LIMITED","14,197.00"," 272,864.99 ","10,472.00"," 203,883.86 ","73.76 ","74.72 "
"ATBA","ATLAS BATTERY LIMITED","5,910.00"," 1,321,621.65 ","5,470.00"," 1,223,184.82 ","92.55 ","92.55 "
"ATIL","ATLAS INSURANCE LIMITED","7,575.00"," 584,603.31 ","7,575.00"," 584,603.31 ","100.00 ","100.00 "
"ATLH","ATLAS HONDA LIMITED","4,785.00"," 7,290,476.13 ","4,076.00"," 6,214,993.81 ","85.18 ","85.25 "
"ATRL","ATTOCK REFINERY LIMITED","3,401,338.00"," 2,205,870,183.55 ","1,340,005.00"," 915,907,736.48 ","39.40 ","41.52 "
"AVN","AVANCEON LIMITED","469,565.00"," 19,933,938.30 ","257,409.00"," 11,225,242.92 ","54.82 ","56.31 "
"BAFL","BANK ALFALAH LIMITED","756,198.00"," 77,719,096.79 ","496,252.00"," 51,690,906.83 ","65.62 ","66.51 "
"BAFS","BABA FARID SUGAR MILLS LIMITED","6,396.00"," 1,542,279.31 ","5,212.00"," 1,274,807.94 ","81.49 ","82.66 "
"BAHL","BANK AL HABIB LIMITED","1,065,988.00"," 196,328,613.06 ","1,040,188.00"," 191,650,733.33 ","97.58 ","97.62 "
"BAPL","BAWANY AIR PRODUCTS LIMITED","398,438.00"," 16,933,112.88 ","144,002.00"," 6,116,582.55 ","36.14 ","36.12 "
"BATA","BATA PAKISTAN LIMITED","863.00"," 1,059,665.91 ","669.00"," 821,074.66 ","77.52 ","77.48 "
"BBFL","BIG BIRD FOODS LIMITED","217,234.00"," 10,515,680.86 ","178,472.00"," 8,645,002.02 ","82.16 ","82.21 "
"BCL","BOLAN CASTINGS LIMITED","138,658.00"," 13,354,774.65 ","94,543.00"," 9,148,175.24 ","68.18 ","68.50 "
"BECO","BECO STEEL LIMITED","7,886,289.00"," 547,238,452.22 ","3,968,435.00"," 275,140,835.32 ","50.32 ","50.28 "
"BELA","BELA AUTOMOTIVES LIMITED","99.00"," 10,836.55 ","85.00"," 9,244.05 ","85.86 ","85.30 "
"BERG","BERGER PAINTS PAKISTAN LIMITED","43,650.00"," 4,440,012.86 ","39,543.00"," 4,026,219.75 ","90.59 ","90.68 "
"BFAGRO","BARKAT FRISIAN AGRO LIMITED","194,311.00"," 7,476,568.60 ","149,145.00"," 5,740,448.55 ","76.76 ","76.78 "
"BFBIO","BF BIOSCIENCES LIMITED","79,261.00"," 12,184,735.97 ","45,907.00"," 7,056,414.53 ","57.92 ","57.91 "
"BFMOD","B.F. MODARABA","7,981.00"," 138,822.31 ","4,693.00"," 83,019.29 ","58.80 ","59.80 "
"BGL","BALOCHISTAN GLASS LIMITED","221,542.00"," 2,878,771.24 ","205,010.00"," 2,662,913.75 ","92.54 ","92.50 "
