"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"TATM","TATA TEXTILE MILLS LIMITED","32,153.00"," 4,404,446.11 ","24,949.00"," 3,419,101.78 ","77.59 ","77.63 "
"TBL","TREET BATTERY LIMITED","13,143,940.00"," 173,746,236.34 ","6,768,493.00"," 89,946,290.46 ","51.50 ","51.77 "
"TCORP","TARIQ CORPORATION LIMITED","5,569.00"," 100,111.86 ","5,569.00"," 100,111.86 ","100.00 ","100.00 "
"TCORPCPS","TARIQ CORPORATION LTD-CUM&CONV.PREF.SH.","1.00"," 7.90 ","1.00"," 7.90 ","100.00 ","100.00 "
"TELE","TELECARD LIMITED","117,134,266.00"," 1,470,409,721.21 ","33,065,996.00"," 422,377,758.47 ","28.23 ","28.73 "
"TGL","TARIQ GLASS INDUSTRIES LTD.","127,281.00"," 31,214,469.40 ","100,300.00"," 24,572,335.37 ","78.80 ","78.72 "
"THALL","THAL LIMITED","16,979.00"," 9,862,956.94 ","16,146.00"," 9,383,371.76 ","95.09 ","95.14 "
"THCCL","THATTA CEMENT COMPANY LIMITED","19,706,831.00"," 1,689,734,084.94 ","7,323,061.00"," 629,339,704.02 ","37.16 ","37.24 "
"TICL","THE THAL INDUSTRIES CORPORATION LIMITED","205.00"," 122,992.20 ","205.00"," 122,992.20 ","100.00 ","100.00 "
"TOMCL","THE ORGANIC MEAT COMPANY LIMITED","3,771,123.00"," 240,760,749.33 ","1,901,987.00"," 121,511,130.10 ","50.44 ","50.47 "
"TOWL","TOWELLERS LIMITED","16,068.00"," 2,573,896.73 ","12,710.00"," 2,039,298.47 ","79.10 ","79.23 "
"TPL","TPL CORP LIMITED","1,219,129.00"," 9,809,179.83 ","955,735.00"," 7,691,565.25 ","78.39 ","78.41 "
"TPLI","TPL INSURANCE LIMITED","380,488.00"," 8,016,344.76 ","351,710.00"," 7,409,320.93 ","92.44 ","92.43 "
"TPLL","TPL LIFE INSURANCE LIMITED","12,679.00"," 465,888.63 ","7,727.00"," 286,267.07 ","60.94 ","61.45 "
"TPLP","TPL PROPERTIES LIMITED","8,758,922.00"," 98,243,301.46 ","4,774,429.00"," 53,291,080.97 ","54.51 ","54.24 "
"TPLRF1","TPL REIT FUND I","6,568,771.00"," 51,568,362.69 ","6,553,797.00"," 51,357,106.81 ","99.77 ","99.59 "
"TPLT","TPL TRAKKER LIMITED","395,331.00"," 2,988,518.58 ","333,952.00"," 2,522,849.59 ","84.47 ","84.42 "
"TREET","TREET CORPORATION LIMITED","77,391,735.00"," 2,540,875,487.70 ","26,071,311.00"," 870,374,316.05 ","33.69 ","34.25 "
"TRG","TRG PAKISTAN LIMITED  -  CLASS - (A)","4,756,265.00"," 354,500,943.43 ","2,110,936.00"," 157,835,464.19 ","44.38 ","44.52 "
"TRIPF","TRI-PACK FILMS LIMITED","255,571.00"," 35,674,263.12 ","173,814.00"," 24,285,908.40 ","68.01 ","68.08 "
"TRSM","TRUST MODARABA","720,107.00"," 44,093,979.56 ","500,112.00"," 30,830,808.58 ","69.45 ","69.92 "
"TSBL","TRUST SECURITIES AND BROKERAGE LTD.","3,892.00"," 48,672.40 ","3,892.00"," 48,672.40 ","100.00 ","100.00 "
"TSMF","TRI-STAR MUTUAL FUND LIMITED","641,642.00"," 13,794,055.95 ","512,312.00"," 11,010,759.29 ","79.84 ","79.82 "
"TSML","TANDLIANWALA SUGAR MILLS LIMITED","377.00"," 93,051.02 ","277.00"," 68,008.81 ","73.47 ","73.09 "
"TSPL","TRI - STAR POWER LIMITED","37,644.00"," 545,863.46 ","30,088.00"," 437,195.26 ","79.93 ","80.09 "
"UBDL","UNITED BRANDS LIMITED","195,450.00"," 5,082,406.14 ","101,706.00"," 2,677,007.21 ","52.04 ","52.67 "
"UBL","UNITED BANK LIMITED","7,335,896.00"," 2,841,560,759.11 ","1,479,926.00"," 578,810,209.09 ","20.17 ","20.37 "
"UBLPETF","UBL PAK. ENTERPRISE EXCHANGE TRADED FUND","116,000.00"," 4,387,055.00 ","115,500.00"," 4,368,245.00 ","99.57 ","99.57 "
"UCAPM","UNICAP MODARABA","2,892,770.00"," 18,292,837.33 ","1,555,403.00"," 10,031,485.22 ","53.77 ","54.84 "
"UDLI","UDL INTERNATIONAL LIMITED","2,139,365.00"," 31,565,875.97 ","951,337.00"," 14,289,451.40 ","44.47 ","45.27 "
"UDPL","UNITED DISTRIBUTERS PAKISTAN LIMITED","123,198.00"," 13,554,270.10 ","113,218.00"," 12,473,710.12 ","91.90 ","92.03 "
"UNIC","THE UNITED INSURANCE CO. OF PAKISTAN LTD","106,686.00"," 1,736,814.75 ","99,863.00"," 1,627,647.08 ","93.60 ","93.71 "
"UNITY","UNITY FOODS LIMITED","5,834,894.00"," 139,552,133.67 ","4,168,594.00"," 101,469,411.28 ","71.44 ","72.71 "
"UPFL","UNILEVER PAKISTAN FOODS LIMITED","16.00"," 477,242.33 ","15.00"," 447,626.00 ","93.75 ","93.79 "
"UVIC","THE UNIVERSAL INSURANCE COMPANY LIMITED","3,553.00"," 87,793.77 ","3,326.00"," 82,163.89 ","93.61 ","93.59 "
"WAFI","WAFI ENERGY PAKISTAN LIMITED","80,866.00"," 15,853,573.28 ","75,606.00"," 14,829,643.87 ","93.50 ","93.54 "
"WAHN","WAH NOBLE CHEMICALS LIMITED","4,429.00"," 1,751,251.27 ","4,332.00"," 1,712,746.65 ","97.81 ","97.80 "
"WASL","WASL MOBILITY MODARABA","21,203,226.00"," 178,713,780.35 ","12,929,119.00"," 110,442,138.84 ","60.98 ","61.80 "
"WAVES","WAVES CORPORATION LIMITED","1,414,635.00"," 16,796,157.12 ","1,096,084.00"," 13,016,181.57 ","77.48 ","77.49 "
"WAVESAPP","WAVES HOME APPLIANCE LIMITED","737,518.00"," 6,947,462.85 ","566,093.00"," 5,483,463.20 ","76.76 ","78.93 "
"WTL","WORLDCALL TELECOM LIMITED","166,484,085.00"," 340,074,036.44 ","89,858,640.00"," 183,927,441.00 ","53.97 ","54.08 "
"YOUW","YOUSAF WEAVING MILLS LIMITED","1,169,225.00"," 7,220,783.62 ","1,024,029.00"," 6,329,675.93 ","87.58 ","87.66 "
"ZAHID","ZAHIDJEE TEXTILE MILLS LIMITED","49,705.00"," 3,182,979.63 ","41,481.00"," 2,655,542.37 ","83.45 ","83.43 "
"ZAL","ZAREA LIMITED","969,799.00"," 35,079,878.29 ","819,023.00"," 29,625,910.39 ","84.45 ","84.45 "
"ZTL","ZEPHYR TEXTILES LIMITED","109.00"," 1,736.90 ","108.00"," 1,720.80 ","99.08 ","99.07 "
"CEPB","CENTURY PAPER AND BOARD MILLS LIMITED","4,316,993.00"," 122,221,667.05 ","2,807,724.00"," 79,632,731.92 ","65.04 ","65.15 "
"CFL","CRESCENT FIBRES LIMITED","26.00"," 1,703.35 ","22.00"," 1,443.35 ","84.62 ","84.74 "
"CHAS","CHASHMA SUGAR MILLS LIMITED","46.00"," 3,243.63 ","46.00"," 3,243.63 ","100.00 ","100.00 "
"CHBL","CHENAB LIMITED","1,150,401.00"," 21,085,772.32 ","1,122,675.00"," 20,592,097.55 ","97.59 ","97.66 "
"CHCC","CHERAT CEMENT COMPANY LIMITED","28,078.00"," 9,330,413.08 ","23,553.00"," 7,854,252.59 ","83.88 ","84.18 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","24,549.00"," 325,781.86 ","18,937.00"," 251,452.08 ","77.14 ","77.18 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","58,621.00"," 228,981.39 ","43,621.00"," 170,481.39 ","74.41 ","74.45 "
"CLOV","CLOVER PAKISTAN LIMITED","124,888.00"," 5,522,294.42 ","124,161.00"," 5,489,983.40 ","99.42 ","99.41 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","9,234.00"," 148,391.07 ","4,733.00"," 75,934.59 ","51.26 ","51.17 "
"CNERGY","CNERGYICO PK LIMITED","20,810,228.00"," 156,089,890.41 ","8,637,236.00"," 69,095,162.98 ","41.50 ","44.27 "
