"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"NCPL","NISHAT CHUNIAN POWER LIMITED","773,982.00"," 19,255,037.50 ","752,899.00"," 18,740,713.21 ","97.28 ","97.33 "
"NESTLE","NESTLE PAKISTAN LIMITED","256.00"," 2,058,774.94 ","248.00"," 1,994,510.94 ","96.88 ","96.88 "
"NETSOL","NETSOL TECHNOLOGIES LIMITED","353,059.00"," 49,670,386.57 ","257,237.00"," 36,182,042.06 ","72.86 ","72.84 "
"NEXT","NEXT CAPITAL LIMITED","48,443.00"," 543,439.75 ","48,243.00"," 541,195.75 ","99.59 ","99.59 "
"NICL","NIMIR INDUSTRIAL CHEMICALS LIMITED","19,485.00"," 4,242,244.52 ","12,871.00"," 2,778,927.52 ","66.06 ","65.51 "
"NITGETF","NIT PAK. GATEWAY EXCHANGE TRADED FUND","27,500.00"," 943,365.00 ","27,000.00"," 926,400.00 ","98.18 ","98.20 "
"NML","NISHAT MILLS LIMITED","1,619,424.00"," 236,534,893.22 ","699,206.00"," 106,402,615.95 ","43.18 ","44.98 "
"NONS","NOON SUGAR MILLS LIMITED","1,730.00"," 147,297.68 ","1,529.00"," 129,818.68 ","88.38 ","88.13 "
"NPL","NISHAT POWER LIMITED","958,509.00"," 32,610,792.69 ","755,425.00"," 25,685,798.69 ","78.81 ","78.76 "
"NRL","NATIONAL REFINERY LIMITED","3,462,792.00"," 1,260,131,951.90 ","1,255,682.00"," 458,337,014.75 ","36.26 ","36.37 "
"NRSL","NIMIR RESINS LIMITED","14,275.00"," 486,988.61 ","12,949.00"," 442,100.91 ","90.71 ","90.78 "
"NSRM","THE NATIONAL SILK & RAYON MILLS LIMITED","4.00"," 398.94 ","3.00"," 308.94 ","75.00 ","77.44 "
"OBOY","OILBOY ENERGY LIMITED","101,274.00"," 932,148.25 ","95,577.00"," 880,200.15 ","94.37 ","94.43 "
"OCTOPUS","OCTOPUS DIGITAL LIMITED","521,957.00"," 24,302,458.34 ","375,762.00"," 17,501,371.92 ","71.99 ","72.01 "
"OGDC","OIL & GAS DEVELOPMENT COMPANY LIMITED","1,624,755.00"," 411,340,327.72 ","935,313.00"," 242,369,915.24 ","57.57 ","58.92 "
"OLPL","OLP FINANCIAL SERVICES PAKISTAN LIMITED","5,389.00"," 250,514.49 ","5,132.00"," 238,448.34 ","95.23 ","95.18 "
"OLPM","OLP MODARABA","15,267.00"," 332,579.29 ","15,167.00"," 330,428.29 ","99.34 ","99.35 "
"OML","OLYMPIA MILLS LIMITED","34,585.00"," 1,651,629.66 ","6,527.00"," 312,399.92 ","18.87 ","18.91 "
"ORM","ORIENT RENTAL MODARABA","150,690.00"," 1,919,148.39 ","125,437.00"," 1,595,344.52 ","83.24 ","83.13 "
"OTSU","OTSUKA PAKISTAN LIMITED","213,266.00"," 73,997,966.29 ","139,883.00"," 48,596,734.08 ","65.59 ","65.67 "
"P01GIS031225","1 YEAR GIS-DISCOUNTED-MATURITY 03-12-25","7.00"," 34,695.50 ","7.00"," 34,695.50 ","100.00 ","100.00 "
"P01GIS061125","1 YEAR GIS-DISCOUNTED-MATURITY 06-11-25","895,001.00"," 4,467,224,266.80 ","895,001.00"," 4,467,224,266.80 ","100.00 ","100.00 "
"P01GIS080126","1 YEAR GIS-DISCOUNTED-MAT DATE 08-01-26","1.00"," 4,905.00 ","1.00"," 4,905.00 ","100.00 ","100.00 "
"P01GIS141026","1 YEAR GIS-DISCOUNTED-MATURITY 14-10-26","88,600.00"," 402,454,968.00 ","88,600.00"," 402,454,968.00 ","100.00 ","100.00 "
"P01GIS200826","1 YEAR GIS-DISCOUNTED-MATURITY 20AUG26","2.00"," 9,270.00 ","2.00"," 9,270.00 ","100.00 ","100.00 "
"P01GIS290526","1 YEAR GIS-DISCOUNTED-MATURITY 29MAY26","2.00"," 9,458.00 ","2.00"," 9,458.00 ","100.00 ","100.00 "
"P01GIS290926","1 YEAR GIS-DISCOUNTED-MATURITY 29SEP26","1.00"," 4,567.00 ","1.00"," 4,567.00 ","100.00 ","100.00 "
"PABC","PAKISTAN ALUMINIUM BEVERAGE CANS LTD","74,713.00"," 10,830,707.83 ","67,213.00"," 9,746,130.61 ","89.96 ","89.99 "
"PACE","PACE (PAKISTAN) LIMITED","31,093,760.00"," 705,596,326.95 ","16,681,362.00"," 378,942,184.74 ","53.65 ","53.71 "
"PAEL","PAK ELEKTRON LIMITED","10,474,302.00"," 530,323,950.96 ","5,737,417.00"," 300,750,542.73 ","54.78 ","56.71 "
"PAKD","PAK DATACOM LIMITED","1,306.00"," 231,731.65 ","1,268.00"," 224,991.42 ","97.09 ","97.09 "
"PAKL","PAK LEATHER CRAFTS LIMITED","703.00"," 28,107.25 ","703.00"," 28,107.25 ","100.00 ","100.00 "
"PAKOXY","PAKISTAN OXYGEN LIMITED","86,192.00"," 24,330,145.10 ","42,137.00"," 11,973,161.01 ","48.89 ","49.21 "
"PAKRI","PAKISTAN REINSURANCE COMPANY LIMITED","1,146,166.00"," 18,884,564.20 ","633,308.00"," 10,441,555.76 ","55.25 ","55.29 "
"PAKT","PAKISTAN TOBACCO COMPANY LIMITED","13,893.00"," 22,750,714.91 ","9,519.00"," 15,599,346.25 ","68.52 ","68.57 "
