"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"UNITY","UNITY FOODS LIMITED","5,259,927.00"," 127,022,674.22 ","3,400,873.00"," 84,537,462.60 ","64.66 ","66.55 "
"UPFL","UNILEVER PAKISTAN FOODS LIMITED","71.00"," 2,115,204.88 ","63.00"," 1,879,349.88 ","88.73 ","88.85 "
"UVIC","THE UNIVERSAL INSURANCE COMPANY LIMITED","13,655.00"," 340,064.94 ","12,035.00"," 299,279.94 ","88.14 ","88.01 "
"WAFI","WAFI ENERGY PAKISTAN LIMITED","98,848.00"," 18,957,684.19 ","86,579.00"," 16,611,481.67 ","87.59 ","87.62 "
"WAHN","WAH NOBLE CHEMICALS LIMITED","36,073.00"," 14,662,439.75 ","35,383.00"," 14,385,978.05 ","98.09 ","98.11 "
"WASL","WASL MOBILITY MODARABA","4,007,543.00"," 30,977,080.78 ","2,694,580.00"," 20,861,293.39 ","67.24 ","67.34 "
"WAVES","WAVES CORPORATION LIMITED","15,220,136.00"," 187,171,025.65 ","7,431,818.00"," 91,635,517.55 ","48.83 ","48.96 "
"WAVESAPP","WAVES HOME APPLIANCE LIMITED","6,644,817.00"," 65,744,609.79 ","4,307,310.00"," 43,242,358.49 ","64.82 ","65.77 "
"WTL","WORLDCALL TELECOM LIMITED","893,657,360.00"," 2,030,965,777.30 ","382,481,786.00"," 871,423,619.26 ","42.80 ","42.91 "
"YOUW","YOUSAF WEAVING MILLS LIMITED","2,450,249.00"," 15,224,134.13 ","1,520,384.00"," 9,471,236.74 ","62.05 ","62.21 "
"ZAHID","ZAHIDJEE TEXTILE MILLS LIMITED","11,889.00"," 821,406.81 ","10,293.00"," 710,465.56 ","86.58 ","86.49 "
"ZAL","ZAREA LIMITED","827,034.00"," 30,494,783.89 ","640,932.00"," 23,617,980.39 ","77.50 ","77.45 "
"ZTL","ZEPHYR TEXTILES LIMITED","16,230.00"," 252,528.76 ","15,930.00"," 247,728.76 ","98.15 ","98.10 "
"786","786 INVESTMENT LIMITED","117,243.00"," 1,518,175.30 ","99,235.00"," 1,287,358.60 ","84.64 ","84.80 "
"AABS","AL-ABBAS SUGAR MILLS LIMITED","10.00"," 10,201.85 ","2.00"," 2,177.78 ","20.00 ","21.35 "
"AATM","ALI ASGHAR TEXTILE MILLS LIMITED","2,066.00"," 101,534.35 ","1,556.00"," 77,209.55 ","75.31 ","76.04 "
"ABL","ALLIED BANK LIMITED","268,883.00"," 54,571,230.47 ","203,784.00"," 41,436,853.49 ","75.79 ","75.93 "
"ABOT","ABBOTT LABORATORIES (PAKISTAN) LIMITED","3,389.00"," 4,086,250.07 ","2,194.00"," 2,652,174.63 ","64.74 ","64.90 "
"ACIETF","ALFALAH CONSUMER INDEX EXC. TRADED FUND","21,006.00"," 395,923.09 ","20,506.00"," 386,583.09 ","97.62 ","97.64 "
"ACPL","ATTOCK CEMENT PAKISTAN LIMITED","536,253.00"," 157,904,212.21 ","493,060.00"," 145,276,276.44 ","91.95 ","92.00 "
"ADAMS","ADAM SUGAR MILLS LIMITED","109.00"," 7,758.20 ","107.00"," 7,614.30 ","98.17 ","98.15 "
"ADMM","ARTISTIC DENIM MILLS LIMITED","27,316.00"," 1,325,747.33 ","21,812.00"," 1,060,983.04 ","79.85 ","80.03 "
"AGHA","AGHA STEEL INDUSTRIES LIMITED","1,627,502.00"," 15,094,304.58 ","1,162,302.00"," 10,793,563.73 ","71.42 ","71.51 "
"AGIC","ASKARI GENERAL INSURANCE COMPANY LTD","21,826.00"," 1,034,091.93 ","21,816.00"," 1,033,616.73 ","99.95 ","99.95 "
"AGIL","AGRIAUTO INDUSTRIES LIMITED","1,384.00"," 187,852.02 ","1,384.00"," 187,852.02 ","100.00 ","100.00 "
"AGL","AGRITECH LIMITED","69,763.00"," 5,279,502.61 ","54,327.00"," 4,108,497.77 ","77.87 ","77.82 "
"AGP","AGP LIMITED","56,990.00"," 11,270,668.71 ","51,183.00"," 10,123,765.04 ","89.81 ","89.82 "
"AGSML","ABDULLAH SHAH GHAZI SUGAR MILLS LIMITED","27,343.00"," 243,685.94 ","18,444.00"," 164,857.32 ","67.45 ","67.65 "
"AGTL","AL-GHAZI TRACTORS LIMITED","542,686.00"," 232,812,294.00 ","503,878.00"," 216,163,662.00 ","92.85 ","92.85 "
"AHCL","ARIF HABIB CORPORATION LIMITED","6,260,246.00"," 96,403,290.83 ","6,013,979.00"," 92,606,582.80 ","96.07 ","96.06 "
"AHL","ARIF HABIB LIMITED","107,467.00"," 11,622,652.33 ","85,089.00"," 9,202,104.83 ","79.18 ","79.17 "
"AHTM","AHMAD HASSAN TEXTILE MILLS LIMITED","32,376.00"," 3,818,424.46 ","17,874.00"," 2,137,845.40 ","55.21 ","55.99 "
"AICL","ADAMJEE INSURANCE COMPANY LIMITED","1,552,706.00"," 122,557,601.15 ","730,157.00"," 61,646,669.65 ","47.02 ","50.30 "
"AIRLINK","AIRLINK COMMUNICATION LIMITED","854,108.00"," 121,455,124.63 ","488,939.00"," 71,003,721.51 ","57.25 ","58.46 "
"AKBL","ASKARI BANK LIMITED","7,188,262.00"," 645,230,271.96 ","2,096,559.00"," 199,875,742.95 ","29.17 ","30.98 "
"AKDHL","AKD HOSPITALITY LIMITED","519.00"," 89,743.89 ","489.00"," 84,613.59 ","94.22 ","94.28 "
"AKDSL","AKD SECURITIES LIMITED","738,940.00"," 28,304,474.11 ","341,283.00"," 13,147,100.63 ","46.19 ","46.45 "
"AKGL","AL-KHAIR GADOON LIMITED","154,748.00"," 8,155,745.83 ","154,745.00"," 8,155,595.20 ","100.00 ","100.00 "
"ALAC","ASKARI LIFE ASSURANCE COMPANY LTD.","1,166,391.00"," 15,570,132.94 ","1,106,741.00"," 14,771,819.43 ","94.89 ","94.87 "
"ALIFE","ADAMJEE LIFE ASSURANCE COMPANY LIMITED","118.00"," 3,896.95 ","111.00"," 3,645.09 ","94.07 ","93.54 "
"ALNRS","AL-NOOR SUGAR MILLS LIMITED","527.00"," 53,751.40 ","525.00"," 53,546.40 ","99.62 ","99.62 "
"ALTN","ALTERN ENERGY LTD.","532,062.00"," 7,358,137.41 ","471,728.00"," 6,521,748.61 ","88.66 ","88.63 "
"AMBL","APNA MICROFINANCE BANK LIMITED","789.00"," 9,114.11 ","788.00"," 9,103.60 ","99.87 ","99.88 "
"AMTEX","AMTEX LIMITED","8,498,721.00"," 35,908,178.24 ","3,517,636.00"," 15,054,566.98 ","41.39 ","41.93 "
"ANL","AZGARD NINE LIMITED","3,148,661.00"," 39,186,773.57 ","2,206,017.00"," 27,513,166.73 ","70.06 ","70.21 "
"ANSM","ANSARI SUGAR MILLS LIMITED","112,880.00"," 1,898,587.97 ","99,253.00"," 1,674,522.35 ","87.93 ","88.20 "
"ANTM","AN TEXTILE MILLS LIMITED","31,501.00"," 1,159,256.94 ","29,495.00"," 1,089,192.75 ","93.63 ","93.96 "
"APL","ATTOCK PETROLEUM LIMITED","55,606.00"," 29,468,177.48 ","48,668.00"," 25,782,359.87 ","87.52 ","87.49 "
"ARCTM","ARCTIC TEXTILE MILLS LIMITED","10,393.00"," 363,711.00 ","10,393.00"," 363,711.00 ","100.00 ","100.00 "
"ARPL","ARCHROMA PAKISTAN LIMITED","2,946.00"," 1,344,020.68 ","2,678.00"," 1,222,329.05 ","90.90 ","90.95 "
"ARUJ","ARUJ INDUSTRIES LIMITED","8,720.00"," 91,609.40 ","8,121.00"," 85,358.71 ","93.13 ","93.18 "
"ASC","AL SHAHEER CORPORATION LIMITED","6,612,422.00"," 118,252,922.61 ","4,374,959.00"," 78,418,025.80 ","66.16 ","66.31 "
"ASHT","ASHFAQ TEXTILE MILLS LIMITED","2,229.00"," 49,044.18 ","2,229.00"," 49,044.18 ","100.00 ","100.00 "
"ASL","AISHA STEEL MILLS LIMITED","2,521,039.00"," 36,039,917.71 ","1,770,787.00"," 25,366,717.75 ","70.24 ","70.39 "
"ASLCPS","AISHA STEEL LTD.-CONV.CUM. PREFR. SHARES","5,612.00"," 844,517.09 ","5,179.00"," 773,572.40 ","92.28 ","91.60 "
"ASLPS","AISHA STEEL MILLS LTD.-PREFERENCE SHARES","82.00"," 1,766.22 ","72.00"," 1,563.12 ","87.80 ","88.50 "
"ASTL","AMRELI STEELS LIMITED","15,979,132.00"," 395,196,638.40 ","10,765,343.00"," 266,943,925.70 ","67.37 ","67.55 "
"ASTM","ASIM TEXTILE MILLS LIMITED","27,040.00"," 597,896.54 ","14,772.00"," 329,000.16 ","54.63 ","55.03 "
"ATBA","ATLAS BATTERY LIMITED","15,471.00"," 3,724,497.67 ","13,952.00"," 3,356,315.54 ","90.18 ","90.11 "
"ATIL","ATLAS INSURANCE LIMITED","101,049.00"," 8,786,360.83 ","99,312.00"," 8,634,272.40 ","98.28 ","98.27 "
"ATLH","ATLAS HONDA LIMITED","14,951.00"," 20,647,885.94 ","14,072.00"," 19,431,757.02 ","94.12 ","94.11 "
"ATRL","ATTOCK REFINERY LIMITED","1,104,571.00"," 716,708,080.14 ","437,084.00"," 296,693,906.54 ","39.57 ","41.40 "
"AVN","AVANCEON LIMITED","566,252.00"," 26,384,336.63 ","327,201.00"," 15,594,207.28 ","57.78 ","59.10 "
"BAFL","BANK ALFALAH LIMITED","1,478,323.00"," 160,160,557.41 ","786,620.00"," 87,068,492.77 ","53.21 ","54.36 "
"BAFS","BABA FARID SUGAR MILLS LIMITED","5,593.00"," 1,351,644.88 ","2,584.00"," 638,605.96 ","46.20 ","47.25 "
"BAHL","BANK AL HABIB LIMITED","59,531.00"," 11,920,168.16 ","42,723.00"," 8,629,287.35 ","71.77 ","72.39 "
