"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"NICL","NIMIR INDUSTRIAL CHEMICALS LIMITED","466,674.00"," 98,593,246.38 ","311,417.00"," 65,685,304.62 ","66.73 ","66.62 "
"NITGETF","NIT PAK. GATEWAY EXCHANGE TRADED FUND","16,500.00"," 579,055.00 ","16,000.00"," 561,455.00 ","96.97 ","96.96 "
"NML","NISHAT MILLS LIMITED","1,388,840.00"," 209,601,295.93 ","902,255.00"," 140,299,840.05 ","64.96 ","66.94 "
"NONS","NOON SUGAR MILLS LIMITED","5,009.00"," 427,579.29 ","5,008.00"," 427,493.70 ","99.98 ","99.98 "
"NPL","NISHAT POWER LIMITED","326,654.00"," 11,770,102.36 ","299,848.00"," 10,800,053.17 ","91.79 ","91.76 "
"NRL","NATIONAL REFINERY LIMITED","920,466.00"," 393,872,004.78 ","492,221.00"," 210,851,046.58 ","53.48 ","53.53 "
"NRSL","NIMIR RESINS LIMITED","743,577.00"," 25,993,831.81 ","578,683.00"," 20,232,444.69 ","77.82 ","77.84 "
"NSRM","THE NATIONAL SILK & RAYON MILLS LIMITED","665.00"," 63,424.30 ","580.00"," 54,244.30 ","87.22 ","85.53 "
"OBOY","OILBOY ENERGY LIMITED","186,782.00"," 1,781,561.71 ","138,445.00"," 1,321,471.24 ","74.12 ","74.17 "
"OCTOPUS","OCTOPUS DIGITAL LIMITED","640,459.00"," 33,201,467.92 ","338,424.00"," 17,510,581.97 ","52.84 ","52.74 "
"OGDC","OIL & GAS DEVELOPMENT COMPANY LIMITED","6,435,873.00"," 1,685,972,242.58 ","4,241,666.00"," 1,124,290,216.76 ","65.91 ","66.68 "
"OLPL","OLP FINANCIAL SERVICES PAKISTAN LIMITED","6,444.00"," 312,152.42 ","5,487.00"," 264,564.78 ","85.15 ","84.75 "
"OLPM","OLP MODARABA","8,027.00"," 173,213.29 ","7,927.00"," 171,070.29 ","98.75 ","98.76 "
"OML","OLYMPIA MILLS LIMITED","7,163.00"," 312,936.32 ","3,629.00"," 164,458.94 ","50.66 ","52.55 "
"ORM","ORIENT RENTAL MODARABA","467,280.00"," 5,891,201.67 ","275,736.00"," 3,480,239.03 ","59.01 ","59.08 "
"OTSU","OTSUKA PAKISTAN LIMITED","43,450.00"," 14,251,936.78 ","38,161.00"," 12,535,016.28 ","87.83 ","87.95 "
"P01GIS031225","1 YEAR GIS-DISCOUNTED-MATURITY 03-12-25","1.00"," 4,946.50 ","1.00"," 4,946.50 ","100.00 ","100.00 "
"P01GIS061125","1 YEAR GIS-DISCOUNTED-MATURITY 06-11-25","1.00"," 4,980.50 ","1.00"," 4,980.50 ","100.00 ","100.00 "
"P01GIS080126","1 YEAR GIS-DISCOUNTED-MAT DATE 08-01-26","100,002.00"," 489,459,792.00 ","100,000.00"," 489,450,000.00 ","100.00 ","100.00 "
"P01GIS141026","1 YEAR GIS-DISCOUNTED-MATURITY 14-10-26","35,000.00"," 158,983,650.00 ","35,000.00"," 158,983,650.00 ","100.00 ","100.00 "
"P01GIS200826","1 YEAR GIS-DISCOUNTED-MATURITY 20AUG26","2.00"," 9,248.00 ","2.00"," 9,248.00 ","100.00 ","100.00 "
"P01GIS290526","1 YEAR GIS-DISCOUNTED-MATURITY 29MAY26","1.00"," 4,720.50 ","1.00"," 4,720.50 ","100.00 ","100.00 "
"P01GIS290926","1 YEAR GIS-DISCOUNTED-MATURITY 29SEP26","1.00"," 4,558.00 ","1.00"," 4,558.00 ","100.00 ","100.00 "
"P05FRR211029","5 YEAR GIS-FRR-MATURITY DATE 21-OCT-29","412,500.00"," 2,182,008,015.00 ","412,500.00"," 2,182,008,015.00 ","100.00 ","100.00 "
"P05VRR211029","5 YEAR GIS-VRR-MATURITY DATE 21-OCT-29","1,312,500.00"," 6,588,345,281.25 ","1,312,500.00"," 6,588,345,281.25 ","100.00 ","100.00 "
"P05VRR240129","5 YEAR GIS-VRR-MATURITY DATE 24-JAN-29","118,800.00"," 621,019,955.16 ","118,800.00"," 621,019,955.16 ","100.00 ","100.00 "
"PABC","PAKISTAN ALUMINIUM BEVERAGE CANS LTD","34,728.00"," 5,020,959.60 ","26,361.00"," 3,806,014.99 ","75.91 ","75.80 "
"PACE","PACE (PAKISTAN) LIMITED","38,164,616.00"," 947,653,762.26 ","16,630,274.00"," 413,657,558.10 ","43.58 ","43.65 "
"PAEL","PAK ELEKTRON LIMITED","22,109,071.00"," 1,221,826,765.91 ","6,426,426.00"," 392,698,295.39 ","29.07 ","32.14 "
"PAKD","PAK DATACOM LIMITED","8,451.00"," 1,522,177.56 ","8,153.00"," 1,468,489.22 ","96.47 ","96.47 "
"PAKL","PAK LEATHER CRAFTS LIMITED","792.00"," 29,412.77 ","792.00"," 29,412.77 ","100.00 ","100.00 "
"PAKOXY","PAKISTAN OXYGEN LIMITED","10,075.00"," 2,432,018.89 ","6,680.00"," 1,615,039.40 ","66.30 ","66.41 "
"PAKRI","PAKISTAN REINSURANCE COMPANY LIMITED","2,476,258.00"," 43,297,977.85 ","1,506,913.00"," 26,371,532.13 ","60.85 ","60.91 "
"PAKT","PAKISTAN TOBACCO COMPANY LIMITED","2,300.00"," 3,598,140.98 ","1,818.00"," 2,840,836.18 ","79.04 ","78.95 "
"PASL","PERVEZ AHMED CONSULTANCY SERVICES LTD","9,512,598.00"," 37,952,921.77 ","6,947,261.00"," 27,754,365.26 ","73.03 ","73.13 "
"PASM","PARAMOUNT SPINNING MILLS LIMITED","11,814.00"," 94,113.63 ","11,314.00"," 90,188.63 ","95.77 ","95.83 "
"PCAL","PAKISTAN CABLES LIMITED","35,399.00"," 7,807,678.57 ","25,866.00"," 5,697,428.79 ","73.07 ","72.97 "
"PECO","PAKISTAN ENGINEERING COMPANY LIMITED","1,243.00"," 626,748.49 ","1,238.00"," 624,391.44 ","99.60 ","99.62 "
"PGLC","PAK GULF LEASING COMPANY LIMITED","12,479.00"," 213,478.79 ","9,936.00"," 170,119.03 ","79.62 ","79.69 "
"PIAHCLA","PIA HOLDING COMPANY LIMITED-CLASS A","6,025,375.00"," 144,618,787.27 ","4,183,686.00"," 100,435,216.34 ","69.43 ","69.45 "
"PIAHCLB","PIA HOLDING COMPANY LIMITED-CLASS B","19.00"," 470,854.68 ","13.00"," 323,501.18 ","68.42 ","68.71 "
"PIBTL","PAKISTAN INTERNATIONAL BULK TERMINAL LTD","40,772,850.00"," 674,986,021.99 ","26,340,615.00"," 437,561,953.24 ","64.60 ","64.83 "
"PICT","PAKISTAN INTL CONTAINER TERMINAL LTD.","954,187.00"," 43,548,593.60 ","686,923.00"," 31,478,234.65 ","71.99 ","72.28 "
"PIL","PICIC INSURANCE LIMITED","116,122.00"," 660,078.87 ","102,362.00"," 582,811.15 ","88.15 ","88.29 "
"PIM","POPULAR ISLAMIC MODARABA","2,800.00"," 64,426.87 ","2,800.00"," 64,426.87 ","100.00 ","100.00 "
"PINL","PREMIER INSURANCE LIMITED","867,432.00"," 6,461,708.80 ","537,330.00"," 4,039,045.92 ","61.94 ","62.51 "
"PIOC","PIONEER CEMENT LIMITED","331,273.00"," 74,103,635.44 ","259,871.00"," 58,940,871.23 ","78.45 ","79.54 "
"PKGI","THE PAKISTAN GENERAL INSURANCE CO. LTD.","127,912.00"," 2,057,347.77 ","111,783.00"," 1,796,477.47 ","87.39 ","87.32 "
"PKGP","PAKGEN POWER LIMITED","25,539.00"," 2,129,421.52 ","25,337.00"," 2,111,996.97 ","99.21 ","99.18 "
"PKGS","PACKAGES LIMITED","4,493.00"," 3,280,496.23 ","2,848.00"," 2,082,346.36 ","63.39 ","63.48 "
"PNSC","PAKISTAN NATIONAL SHIPPING CORPORATION","28,551.00"," 13,648,856.22 ","25,452.00"," 12,167,103.58 ","89.15 ","89.14 "
"POL","PAKISTAN OILFIELDS LIMITED","302,458.00"," 189,445,887.99 ","217,304.00"," 138,391,964.05 ","71.85 ","73.05 "
"POML","PUNJAB OIL MILLS LIMITED","639.00"," 118,257.31 ","590.00"," 109,216.81 ","92.33 ","92.36 "
"POWER","POWER CEMENT LIMITED","7,908,222.00"," 157,210,278.51 ","5,940,537.00"," 118,420,094.27 ","75.12 ","75.33 "
"POWERPS","POWER CEMENT LIMITED - PREFERENCE SHARES","899.00"," 23,231.61 ","349.00"," 9,598.48 ","38.82 ","41.32 "
"PPL","PAKISTAN PETROLEUM LIMITED","12,535,941.00"," 2,289,520,044.98 ","5,946,130.00"," 1,140,364,272.79 ","47.43 ","49.81 "
"PPP","PAKISTAN PAPER PRODUCTS LIMITED","11,891.00"," 1,762,669.17 ","11,372.00"," 1,685,994.17 ","95.64 ","95.65 "
"PPVC","PAKISTAN PVC LIMITED","5,600.00"," 99,499.25 ","5,000.00"," 89,857.25 ","89.29 ","90.31 "
"PREMA","AT-TAHUR LIMITED","966,988.00"," 40,079,940.61 ","791,434.00"," 32,800,643.29 ","81.85 ","81.84 "
"PRET","PREMIUM TEXTILE MILLS LIMITED","52.00"," 24,188.24 ","34.00"," 15,950.03 ","65.38 ","65.94 "
"PRL","PAKISTAN REFINERY LIMITED","14,709,156.00"," 543,107,582.91 ","7,465,289.00"," 282,927,939.12 ","50.75 ","52.09 "
"PRWM","PROSPERITY WEAVING MILLS LIMITED","2.00"," 114.00 ","2.00"," 114.00 ","100.00 ","100.00 "
"PSEL","PAKISTAN SERVICES LIMITED","6,162.00"," 6,940,625.77 ","5,340.00"," 6,026,504.05 ","86.66 ","86.83 "
"PSO","PAKISTAN STATE OIL COMPANY LIMITED","3,986,555.00"," 1,853,655,327.51 ","2,014,931.00"," 972,204,351.61 ","50.54 ","52.45 "
"PSX","PAKISTAN STOCK EXCHANGE LIMITED","5,605,077.00"," 244,028,765.21 ","4,137,289.00"," 180,951,589.89 ","73.81 ","74.15 "
"PSYL","PAKISTAN SYNTHETICS LIMITED","511.00"," 28,903.33 ","511.00"," 28,903.33 ","100.00 ","100.00 "
"PTC","PAKISTAN TELECOMMUNICATION COMPANY LTD","99,977,957.00"," 3,779,892,735.83 ","29,265,249.00"," 1,159,959,653.91 ","29.27 ","30.69 "
"PTL","PANTHER TYRES LIMITED","630,369.00"," 37,861,717.61 ","493,218.00"," 29,622,717.93 ","78.24 ","78.24 "
"QUET","QUETTA TEXTILE MILLS LIMITED","2,286.00"," 37,686.60 ","2,286.00"," 37,686.60 ","100.00 ","100.00 "
"QUICE","QUICE FOOD INDUSTRIES LIMITED","2,912,140.00"," 26,409,699.99 ","1,458,114.00"," 13,251,091.64 ","50.07 ","50.18 "
"REDCO","REDCO TEXTILES LIMITED","56,281.00"," 1,049,252.55 ","48,117.00"," 897,891.52 ","85.49 ","85.57 "
"REWM","RELIANCE WEAVING MILLS LIMITED","1,104.00"," 157,776.00 ","1,104.00"," 157,776.00 ","100.00 ","100.00 "
"RICL","RELIANCE INSURANCE COMPANY LIMITED","1,983.00"," 32,833.75 ","1,982.00"," 32,817.84 ","99.95 ","99.95 "
"RMPL","RAFHAN MAIZE PRODUCTS COMPANY LIMITED","103.00"," 990,312.92 ","97.00"," 932,914.62 ","94.17 ","94.20 "
"RPL","ROSHAN PACKAGES LIMITED","1,074,933.00"," 19,726,809.98 ","1,053,718.00"," 19,335,066.53 ","98.03 ","98.01 "
"RUBY","RUBY TEXTILE MILLS LIMITED","520.00"," 6,630.70 ","510.00"," 6,512.20 ","98.08 ","98.21 "
"RUPL","RUPALI POLYESTER LIMITED","5,269.00"," 197,974.10 ","5,269.00"," 197,974.10 ","100.00 ","100.00 "
"786","786 INVESTMENT LIMITED","156,835.00"," 2,013,231.90 ","101,131.00"," 1,315,213.74 ","64.48 ","65.33 "
