"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","244,776.00"," 24,842,482.83 ","151,830.00"," 15,393,331.72 ","62.03 ","61.96 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","711,970.00"," 3,790,119.17 ","322,264.00"," 1,769,522.74 ","45.26 ","46.69 "
"CTM","COLONY TEXTILE MILLS LIMITED","548,847.00"," 3,378,420.17 ","502,902.00"," 3,094,547.79 ","91.63 ","91.60 "
"CWSM","CHAKWAL SPINNING MILLS LIMITED","3,436,985.00"," 126,907,085.66 ","1,333,005.00"," 49,421,148.69 ","38.78 ","38.94 "
"CYAN","CYAN LIMITED","1,464,044.00"," 82,888,420.83 ","502,224.00"," 28,542,191.04 ","34.30 ","34.43 "
"DAAG","DATA AGRO LIMITED","2,366.00"," 221,134.20 ","2,088.00"," 195,246.39 ","88.25 ","88.29 "
"DADX","DADEX ETERNIT LIMITED","58.00"," 3,366.55 ","58.00"," 3,366.55 ","100.00 ","100.00 "
"DBCI","DADABHOY CEMENT INDUSTRIES LIMITED","33,377.00"," 223,358.01 ","32,071.00"," 214,708.10 ","96.09 ","96.13 "
"DCL","DEWAN CEMENT LIMITED","2,301,334.00"," 30,120,830.11 ","1,713,811.00"," 22,475,713.28 ","74.47 ","74.62 "
"DCR","DOLMEN CITY REIT","291,629.00"," 9,320,836.98 ","268,144.00"," 8,570,468.79 ","91.95 ","91.95 "
"DEL","DAWOOD EQUITIES LIMITED","535,444.00"," 9,667,950.87 ","455,825.00"," 8,233,752.71 ","85.13 ","85.17 "
"DFML","DEWAN FAROOQUE MOTORS LIMITED","713,182.00"," 18,865,753.84 ","542,815.00"," 14,373,942.69 ","76.11 ","76.19 "
"DFSM","DEWAN FAROOQUE SPINNING MILLS LIMITED","308,827.00"," 1,614,129.28 ","283,705.00"," 1,482,077.83 ","91.87 ","91.82 "
"DGKC","D.G. KHAN CEMENT COMPANY LIMITED","2,827,219.00"," 574,720,280.52 ","1,705,070.00"," 338,975,056.26 ","60.31 ","58.98 "
"DHPL","DH PARTNERS LIMITED","3,914,209.00"," 196,556,199.34 ","2,186,087.00"," 110,550,417.22 ","55.85 ","56.24 "
"DIIL","DIAMOND INDUSTRIES LIMITED","686.00"," 38,879.60 ","686.00"," 38,879.60 ","100.00 ","100.00 "
"DINT","DIN TEXTILE MILLS LIMITED","1,092.00"," 80,327.38 ","1,092.00"," 80,327.38 ","100.00 ","100.00 "
"DLL","DAWOOD LAWRENCEPUR LIMITED","7,091.00"," 2,786,699.70 ","5,772.00"," 2,268,500.64 ","81.40 ","81.40 "
"DMC","D.M. CORPORATION LIMITED","167.00"," 38,786.85 ","166.00"," 38,551.84 ","99.40 ","99.39 "
"DMTM","DEWAN MUSHTAQ TEXTILE MILLS LIMITED","2,626.00"," 26,285.33 ","1,454.00"," 14,782.01 ","55.37 ","56.24 "
"DNCC","DANDOT CEMENT COMPANY LIMITED","117,683.00"," 2,146,359.06 ","101,473.00"," 1,852,468.14 ","86.23 ","86.31 "
"DOL","DESCON OXYCHEM LIMITED","105,854.00"," 3,445,090.61 ","70,685.00"," 2,306,445.42 ","66.78 ","66.95 "
"DSIL","D. S. INDUSTRIES LIMITED","841,092.00"," 10,611,751.02 ","474,822.00"," 5,998,302.12 ","56.45 ","56.53 "
"DSL","DOST STEELS LIMITED","142,013.00"," 1,200,695.11 ","137,928.00"," 1,166,120.78 ","97.12 ","97.12 "
"DWAE","DEWAN AUTOMOTIVE ENGINEERING LIMITED","11,715.00"," 255,924.77 ","7,560.00"," 165,587.82 ","64.53 ","64.70 "
"DWSM","DEWAN SUGAR MILLS LIMITED","71,486.00"," 555,208.86 ","64,158.00"," 498,740.72 ","89.75 ","89.83 "
"DWTM","DEWAN TEXTILE MILLS LIMITED","2,936.00"," 19,670.36 ","2,935.00"," 19,664.35 ","99.97 ","99.97 "
"DYNO","DYNEA PAKISTAN LIMITED","14,305.00"," 3,845,622.98 ","12,530.00"," 3,379,083.56 ","87.59 ","87.87 "
"ECOP","ECOPACK LIMITED","160,687.00"," 9,031,354.48 ","141,277.00"," 7,929,375.08 ","87.92 ","87.80 "
"EFERT","ENGRO FERTILIZERS LIMITED","1,110,139.00"," 226,893,306.03 ","723,787.00"," 152,143,877.20 ","65.20 ","67.06 "
"EFUG","EFU GENERAL INSURANCE LIMITED","1,656.00"," 205,278.87 ","1,656.00"," 205,278.87 ","100.00 ","100.00 "
"EFUL","EFU LIFE ASSURANCE LIMITED","6,725.00"," 1,019,035.54 ","6,725.00"," 1,019,035.54 ","100.00 ","100.00 "
"ELCM","ELAHI COTTON MILLS LIMITED","9.00"," 1,624.02 ","8.00"," 1,443.00 ","88.89 ","88.85 "
"ELSM","ELLCOT SPINNING MILLS LIMITED","1,100.00"," 121,600.00 ","1,000.00"," 110,500.00 ","90.91 ","90.87 "
"EMCO","EMCO INDUSTRIES LIMITED","20,975.00"," 1,178,863.99 ","19,527.00"," 1,096,875.70 ","93.10 ","93.05 "
"ENGROH","ENGRO HOLDINGS LIMITED","1,229,110.00"," 278,177,897.97 ","903,075.00"," 204,286,257.82 ","73.47 ","73.44 "
"EPCL","ENGRO POLYMER & CHEMICALS LIMITED","1,244,162.00"," 35,508,034.71 ","832,821.00"," 23,813,953.28 ","66.94 ","67.07 "
"EPCLPS","ENGRO POLYMER & CHEMICALS LTD - PREF.SH.","4,010.00"," 48,125.00 ","4,010.00"," 48,125.00 ","100.00 ","100.00 "
"EPQL","ENGRO POWERGEN QADIRPUR LIMITED","99,074.00"," 2,868,056.85 ","96,675.00"," 2,798,230.45 ","97.58 ","97.57 "
"ESBL","ESCORTS INVESTMENT BANK LIMITED","20,432.00"," 280,240.41 ","15,012.00"," 206,970.43 ","73.47 ","73.85 "
"EWIC","EAST WEST INSURANCE COMPANY LIMITED","104.00"," 5,947.89 ","103.00"," 5,900.87 ","99.04 ","99.21 "
"EXIDE","EXIDE PAKISTAN LIMITED","6,961.00"," 4,174,978.93 ","5,170.00"," 3,102,981.09 ","74.27 ","74.32 "
"FABL","FAYSAL BANK LIMITED","1,002,050.00"," 82,111,764.13 ","607,654.00"," 50,586,122.92 ","60.64 ","61.61 "
"FANM","FIRST AL-NOOR MODARABA","62,723.00"," 487,169.52 ","52,499.00"," 407,647.40 ","83.70 ","83.68 "
