"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"DMTM","DEWAN MUSHTAQ TEXTILE MILLS LIMITED","376,926.00"," 6,208,611.75 ","175,838.00"," 2,913,068.75 ","46.65 ","46.92 "
"DNCC","DANDOT CEMENT COMPANY LIMITED","118,602.00"," 1,851,991.20 ","95,344.00"," 1,488,548.81 ","80.39 ","80.38 "
"DOL","DESCON OXYCHEM LIMITED","666,259.00"," 23,379,675.32 ","570,063.00"," 20,003,960.89 ","85.56 ","85.56 "
"DSIL","D. S. INDUSTRIES LIMITED","588,216.00"," 3,619,504.01 ","512,907.00"," 3,161,205.03 ","87.20 ","87.34 "
"DSL","DOST STEELS LIMITED","5,406,608.00"," 51,357,470.50 ","5,382,296.00"," 51,126,888.39 ","99.55 ","99.55 "
"DWAE","DEWAN AUTOMOTIVE ENGINEERING LIMITED","14,230.00"," 413,426.92 ","13,674.00"," 397,241.62 ","96.09 ","96.09 "
"DWSM","DEWAN SUGAR MILLS LIMITED","342,129.00"," 2,254,976.32 ","309,001.00"," 2,040,080.21 ","90.32 ","90.47 "
"DWTM","DEWAN TEXTILE MILLS LIMITED","21,879.00"," 164,043.87 ","21,201.00"," 158,990.56 ","96.90 ","96.92 "
"DYNO","DYNEA PAKISTAN LIMITED","13,543.00"," 3,859,133.09 ","1,933.00"," 559,860.23 ","14.27 ","14.51 "
"ECOP","ECOPACK LIMITED","4,775,547.00"," 350,380,505.55 ","1,300,079.00"," 93,746,347.44 ","27.22 ","26.76 "
"EFERT","ENGRO FERTILIZERS LIMITED","1,844,233.00"," 375,418,457.54 ","1,496,843.00"," 305,521,142.42 ","81.16 ","81.38 "
"EFUG","EFU GENERAL INSURANCE LIMITED","967.00"," 122,382.21 ","957.00"," 121,152.21 ","98.97 ","98.99 "
"EFUL","EFU LIFE ASSURANCE LIMITED","8,309.00"," 1,328,904.22 ","8,308.00"," 1,328,748.21 ","99.99 ","99.99 "
"ELCM","ELAHI COTTON MILLS LIMITED","7,763.00"," 1,809,981.04 ","6,300.00"," 1,468,459.93 ","81.15 ","81.13 "
"ELSM","ELLCOT SPINNING MILLS LIMITED","1,112.00"," 134,556.76 ","1,111.00"," 134,430.76 ","99.91 ","99.91 "
"EMCO","EMCO INDUSTRIES LIMITED","22,526.00"," 1,367,028.16 ","22,040.00"," 1,338,031.25 ","97.84 ","97.88 "
"ENGROH","ENGRO HOLDINGS LIMITED","1,471,956.00"," 312,251,616.67 ","1,189,091.00"," 252,444,796.78 ","80.78 ","80.85 "
"EPCL","ENGRO POLYMER & CHEMICALS LIMITED","12,695,783.00"," 392,221,587.72 ","6,705,169.00"," 209,598,785.05 ","52.81 ","53.44 "
"EPCLPS","ENGRO POLYMER & CHEMICALS LTD - PREF.SH.","16,457.00"," 209,204.49 ","16,450.00"," 209,115.30 ","99.96 ","99.96 "
"EPQL","ENGRO POWERGEN QADIRPUR LIMITED","201,849.00"," 5,888,080.43 ","181,049.00"," 5,280,950.93 ","89.70 ","89.69 "
"ESBL","ESCORTS INVESTMENT BANK LIMITED","109,754.00"," 696,940.28 ","109,644.00"," 696,276.38 ","99.90 ","99.90 "
"EXIDE","EXIDE PAKISTAN LIMITED","4,014.00"," 2,952,485.73 ","3,896.00"," 2,866,337.21 ","97.06 ","97.08 "
"FABL","FAYSAL BANK LIMITED","6,664,156.00"," 511,183,972.92 ","3,448,323.00"," 272,017,198.51 ","51.74 ","53.21 "
"FANM","FIRST AL-NOOR MODARABA","87,341.00"," 508,866.40 ","66,783.00"," 389,475.40 ","76.46 ","76.54 "
"FASM","FAISAL SPINNING MILLS LIMITED","636.00"," 240,454.47 ","592.00"," 223,717.57 ","93.08 ","93.04 "
"FATIMA","FATIMA FERTILIZER COMPANY LIMITED","1,364,315.00"," 163,385,486.38 ","912,082.00"," 110,545,177.14 ","66.85 ","67.66 "
"FCCL","FAUJI CEMENT COMPANY LIMITED","46,460,566.00"," 2,692,241,399.14 ","18,432,499.00"," 1,101,838,822.27 ","39.67 ","40.93 "
"FCEL","FIRST CAPITAL EQUITIES LIMITED","66,855.00"," 380,754.32 ","65,865.00"," 375,146.65 ","98.52 ","98.53 "
"FCEPL","FRIESLANDCAMPINA ENGRO PAKISTAN LIMITED","662,966.00"," 56,403,480.04 ","501,820.00"," 42,682,865.14 ","75.69 ","75.67 "
"FCIBL","FIRST CREDIT AND INVESTMENT BANK LIMITED","8,032.00"," 110,350.05 ","8,032.00"," 110,350.05 ","100.00 ","100.00 "
"FCL","FAST CABLES LIMITED","9,146,196.00"," 219,998,502.95 ","7,809,281.00"," 187,806,828.21 ","85.38 ","85.37 "
"FCSC","FIRST CAPITAL SECURITIES CORPORATION LTD","10,349,567.00"," 32,335,388.95 ","5,920,557.00"," 18,694,633.82 ","57.21 ","57.81 "
"FDPL","FIRST DAWOOD PROPERTIES LIMITED","2,089,371.00"," 14,698,650.49 ","1,784,722.00"," 12,573,897.99 ","85.42 ","85.54 "
"FECTC","FECTO CEMENT LIMITED","141,397.00"," 13,335,184.43 ","106,423.00"," 10,053,941.95 ","75.27 ","75.39 "
"FEM","FIRST EQUITY MODARABA","56,219.00"," 345,879.28 ","33,264.00"," 204,833.91 ","59.17 ","59.22 "
"FEROZ","FEROZSONS LABORATORIES LIMITED","36,339.00"," 15,343,937.53 ","27,548.00"," 11,648,218.00 ","75.81 ","75.91 "
"FFC","FAUJI FERTILIZER COMPANY LIMITED","2,854,678.00"," 1,225,804,573.56 ","1,558,595.00"," 677,212,430.90 ","54.60 ","55.25 "
"FFL","FAUJI FOODS LIMITED","23,003,449.00"," 392,722,247.83 ","14,011,688.00"," 240,128,965.90 ","60.91 ","61.14 "
"FFLM","FIRST FIDELITY LEASING MODARABA","2,004.00"," 15,867.58 ","1,364.00"," 10,776.46 ","68.06 ","67.91 "
"FHAM","FIRST HABIB MODARABA","30,660.00"," 968,304.88 ","30,570.00"," 965,457.38 ","99.71 ","99.71 "
"FIBLM","FIRST IBL MODARABA","37,837.00"," 335,233.34 ","35,936.00"," 319,604.36 ","94.98 ","95.34 "
"FIL","FATEH INDUSTRIES LIMITED","3.00"," 610.80 ","3.00"," 610.80 ","100.00 ","100.00 "
"FIMM","FIRST IMROOZ MODARABA","100.00"," 20,859.00 ","100.00"," 20,859.00 ","100.00 ","100.00 "
"FLYNG","FLYING CEMENT COMPANY LIMITED","2,347,967.00"," 128,509,990.12 ","1,685,558.00"," 92,087,804.91 ","71.79 ","71.66 "
"FML","FEROZE1888 MILLS LIMITED","110,068.00"," 8,898,624.17 ","85,560.00"," 6,932,542.77 ","77.73 ","77.91 "
"FNEL","FIRST NATIONAL EQUITIES LIMITED","25,860,179.00"," 177,109,571.63 ","16,247,772.00"," 111,301,577.07 ","62.83 ","62.84 "
"FPJM","FIRST PUNJAB MODARABA","243,219.00"," 1,106,146.00 ","238,168.00"," 1,083,869.11 ","97.92 ","97.99 "
"FPRM","FIRST PARAMOUNT MODARABA","46,283.00"," 558,157.13 ","31,356.00"," 377,837.52 ","67.75 ","67.69 "
"FRCL","FRONTIER CERAMICS LIMITED","45,952.00"," 2,028,603.89 ","38,928.00"," 1,719,993.23 ","84.71 ","84.79 "
"FRSM","FARAN SUGAR MILLS LIMITED","8,362.00"," 381,907.07 ","8,062.00"," 368,108.07 ","96.41 ","96.39 "
"FSWL","FATEH SPORTS WEAR LIMITED","2,192.00"," 229,069.21 ","1,198.00"," 125,655.64 ","54.65 ","54.85 "
