"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"OCTOPUS","OCTOPUS DIGITAL LIMITED","808,144.00"," 42,788,680.72 ","500,672.00"," 26,512,056.29 ","61.95 ","61.96 "
"OGDC","OIL & GAS DEVELOPMENT COMPANY LIMITED","3,398,457.00"," 932,026,766.82 ","1,857,892.00"," 519,262,862.26 ","54.67 ","55.71 "
"OLPL","OLP FINANCIAL SERVICES PAKISTAN LIMITED","39,257.00"," 2,236,146.60 ","37,430.00"," 2,132,677.60 ","95.35 ","95.37 "
"OLPM","OLP MODARABA","81,260.00"," 2,039,426.44 ","80,760.00"," 2,026,876.44 ","99.38 ","99.38 "
"OML","OLYMPIA MILLS LIMITED","47,404.00"," 1,977,483.99 ","28,701.00"," 1,196,073.41 ","60.55 ","60.48 "
"ORM","ORIENT RENTAL MODARABA","724,145.00"," 10,523,141.39 ","575,832.00"," 8,366,433.75 ","79.52 ","79.51 "
"OTSU","OTSUKA PAKISTAN LIMITED","42,920.00"," 14,129,571.15 ","32,939.00"," 10,911,574.45 ","76.75 ","77.23 "
"P01GIS031225","1 YEAR GIS-DISCOUNTED-MATURITY 03-12-25","30,002.00"," 147,699,833.00 ","30,001.00"," 147,694,910.00 ","100.00 ","100.00 "
"P01GIS061125","1 YEAR GIS-DISCOUNTED-MATURITY 06-11-25","1.00"," 4,958.00 ","1.00"," 4,958.00 ","100.00 ","100.00 "
"P01GIS080126","1 YEAR GIS-DISCOUNTED-MAT DATE 08-01-26","1.00"," 4,875.00 ","1.00"," 4,875.00 ","100.00 ","100.00 "
"P01GIS200826","1 YEAR GIS-DISCOUNTED-MATURITY 20AUG26","50,000.00"," 229,775,000.00 ","50,000.00"," 229,775,000.00 ","100.00 ","100.00 "
"P01GIS201025","1 YEAR GIS-DISCOUNTED-MATURITY 20-10-25","1.00"," 4,981.00 ","1.00"," 4,981.00 ","100.00 ","100.00 "
"P01GIS290526","1 YEAR GIS-DISCOUNTED-MATURITY 29MAY26","1.00"," 4,701.50 ","1.00"," 4,701.50 ","100.00 ","100.00 "
"P01GIS290926","1 YEAR GIS-DISCOUNTED-MATURITY 29SEP26","1.00"," 4,536.00 ","1.00"," 4,536.00 ","100.00 ","100.00 "
"PABC","PAKISTAN ALUMINIUM BEVERAGE CANS LTD","515,430.00"," 83,260,490.86 ","225,306.00"," 36,300,796.88 ","43.71 ","43.60 "
"PACE","PACE (PAKISTAN) LIMITED","44,921,069.00"," 627,447,419.08 ","21,000,475.00"," 296,390,661.43 ","46.75 ","47.24 "
"PAEL","PAK ELEKTRON LIMITED","51,744,765.00"," 3,020,765,747.70 ","22,013,461.00"," 1,339,031,032.93 ","42.54 ","44.33 "
"PAKD","PAK DATACOM LIMITED","96,537.00"," 19,244,979.87 ","86,148.00"," 17,154,964.21 ","89.24 ","89.14 "
"PAKL","PAK LEATHER CRAFTS LIMITED","2,095.00"," 79,640.40 ","2,092.00"," 79,531.32 ","99.86 ","99.86 "
"PAKOXY","PAKISTAN OXYGEN LIMITED","41,822.00"," 10,215,189.70 ","38,575.00"," 9,425,201.95 ","92.24 ","92.27 "
"PAKRI","PAKISTAN REINSURANCE COMPANY LIMITED","2,936,727.00"," 47,232,546.57 ","2,032,977.00"," 32,691,728.13 ","69.23 ","69.21 "
"PAKT","PAKISTAN TOBACCO COMPANY LIMITED","46,878.00"," 77,454,221.02 ","36,245.00"," 60,090,973.70 ","77.32 ","77.58 "
"PASL","PERVEZ AHMED CONSULTANCY SERVICES LTD","6,004,350.00"," 21,043,672.69 ","4,472,126.00"," 15,666,255.74 ","74.48 ","74.45 "
"PASM","PARAMOUNT SPINNING MILLS LIMITED","24,915.00"," 173,193.07 ","24,859.00"," 172,800.64 ","99.78 ","99.77 "
"PCAL","PAKISTAN CABLES LIMITED","10,519.00"," 2,518,234.93 ","8,696.00"," 2,083,609.97 ","82.67 ","82.74 "
"PECO","PAKISTAN ENGINEERING COMPANY LIMITED","40.00"," 21,296.99 ","37.00"," 19,783.97 ","92.50 ","92.90 "
"PGLC","PAK GULF LEASING COMPANY LIMITED","47,489.00"," 841,742.41 ","42,282.00"," 748,169.70 ","89.04 ","88.88 "
"PIAHCLA","PIA HOLDING COMPANY LIMITED-CLASS A","5,200,476.00"," 112,254,381.26 ","3,796,785.00"," 82,135,598.33 ","73.01 ","73.17 "
"PIAHCLB","PIA HOLDING COMPANY LIMITED-CLASS B","21.00"," 532,606.52 ","13.00"," 334,228.51 ","61.90 ","62.75 "
"PIBTL","PAKISTAN INTERNATIONAL BULK TERMINAL LTD","63,504,861.00"," 1,013,479,612.23 ","37,113,269.00"," 594,530,450.15 ","58.44 ","58.66 "
"PICT","PAKISTAN INTL CONTAINER TERMINAL LTD.","177,348.00"," 7,453,193.62 ","89,752.00"," 3,772,479.28 ","50.61 ","50.62 "
"PIL","PICIC INSURANCE LIMITED","20,726.00"," 118,453.86 ","19,520.00"," 111,609.06 ","94.18 ","94.22 "
"PIM","POPULAR ISLAMIC MODARABA","14,348.00"," 329,507.92 ","3,083.00"," 85,105.12 ","21.49 ","25.83 "
"PINL","PREMIER INSURANCE LIMITED","176,036.00"," 1,456,688.61 ","154,796.00"," 1,284,982.61 ","87.93 ","88.21 "
"PIOC","PIONEER CEMENT LIMITED","578,792.00"," 138,962,188.27 ","489,145.00"," 117,702,300.73 ","84.51 ","84.70 "
"PKGI","THE PAKISTAN GENERAL INSURANCE CO. LTD.","5,122.00"," 56,568.11 ","3,601.00"," 41,252.29 ","70.30 ","72.92 "
"PKGP","PAKGEN POWER LIMITED","12,960.00"," 1,195,693.52 ","12,751.00"," 1,175,847.91 ","98.39 ","98.34 "
"PKGS","PACKAGES LIMITED","6,632.00"," 4,625,673.69 ","4,367.00"," 3,055,075.70 ","65.85 ","66.05 "
"PMPK","PHILIP MORRIS (PAKISTAN) LIMITED","21,191.00"," 27,568,427.71 ","21,173.00"," 27,544,872.70 ","99.92 ","99.91 "
"PNSC","PAKISTAN NATIONAL SHIPPING CORPORATION","145,353.00"," 72,571,195.82 ","92,259.00"," 46,072,561.11 ","63.47 ","63.49 "
"POL","PAKISTAN OILFIELDS LIMITED","397,903.00"," 290,811,432.93 ","330,302.00"," 242,421,219.47 ","83.01 ","83.36 "
"POML","PUNJAB OIL MILLS LIMITED","9,699.00"," 1,981,148.64 ","4,451.00"," 907,251.57 ","45.89 ","45.79 "
"POWER","POWER CEMENT LIMITED","4,003,603.00"," 75,561,462.62 ","2,763,003.00"," 52,200,708.08 ","69.01 ","69.08 "
"PPL","PAKISTAN PETROLEUM LIMITED","4,491,476.00"," 898,360,733.16 ","2,558,491.00"," 523,212,097.57 ","56.96 ","58.24 "
"PPP","PAKISTAN PAPER PRODUCTS LIMITED","61,357.00"," 10,060,931.60 ","51,764.00"," 8,489,379.23 ","84.37 ","84.38 "
"PPVC","PAKISTAN PVC LIMITED","2,569.00"," 46,089.88 ","556.00"," 9,631.08 ","21.64 ","20.90 "
