"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"HIRAT","HIRA TEXTILE MILLS LIMITED","2,375,050.00"," 11,802,803.33 ","1,946,889.00"," 9,700,127.50 ","81.97 ","82.18 "
"HMB","HABIB METROPOLITAN BANK LIMITED","215,068.00"," 26,263,185.94 ","129,961.00"," 16,353,438.94 ","60.43 ","62.27 "
"HPL","HOECHST PAKISTAN LIMITED","134.00"," 561,641.66 ","127.00"," 532,415.96 ","94.78 ","94.80 "
"HRPL","HABIB RICE PRODUCTS LIMITED","19,806.00"," 534,821.03 ","19,758.00"," 533,520.71 ","99.76 ","99.76 "
"HTL","HI-TECH LUBRICANTS LIMITED","727,614.00"," 39,389,912.73 ","589,785.00"," 32,046,199.97 ","81.06 ","81.36 "
"HUBC","THE HUB POWER COMPANY LIMITED","13,147,490.00"," 2,797,784,082.35 ","6,831,068.00"," 1,495,547,459.06 ","51.96 ","53.45 "
"HUMNL","HUM NETWORK LIMITED","5,123,083.00"," 67,783,895.92 ","2,966,610.00"," 40,832,245.96 ","57.91 ","60.24 "
"HUSI","HUSEIN INDUSTRIES LIMITED","500.00"," 14,542.50 ","500.00"," 14,542.50 ","100.00 ","100.00 "
"HWQS","HASEEB WAQAS SUGAR MILLS LIMITED","5,502.00"," 92,515.73 ","4,588.00"," 77,027.53 ","83.39 ","83.26 "
"IBFL","IBRAHIM FIBRES LIMITED","5.00"," 1,447.20 ","5.00"," 1,447.20 ","100.00 ","100.00 "
"IBLHL","IBL HEALTHCARE LIMITED","170,961.00"," 7,872,097.20 ","104,352.00"," 4,827,247.87 ","61.04 ","61.32 "
"ICCI","ICC INDUSTRIES LIMITED","351,545.00"," 5,705,258.15 ","293,688.00"," 4,778,686.25 ","83.54 ","83.76 "
"ICIBL","INVEST CAPITAL INVESTMENT BANK LIMITED","860,794.00"," 4,957,851.55 ","612,142.00"," 3,533,790.14 ","71.11 ","71.28 "
"ICL","ITTEHAD CHEMICALS LIMITED","184,165.00"," 24,941,333.31 ","157,616.00"," 21,353,138.24 ","85.58 ","85.61 "
"IDRT","IDREES TEXTILE MILLS LIMITED","65,398.00"," 1,453,467.33 ","65,398.00"," 1,453,467.33 ","100.00 ","100.00 "
"IDSM","IDEAL SPINNING MILLS LIMITED","102.00"," 2,788.07 ","95.00"," 2,615.74 ","93.14 ","93.82 "
"IDYM","INDUS DYEING AND MANUFACTURING CO. LTD.","8,481.00"," 1,365,598.64 ","3,720.00"," 614,575.31 ","43.86 ","45.00 "
"IGIHL","IGI HOLDINGS LIMITED","428,278.00"," 122,681,808.85 ","358,366.00"," 103,168,990.65 ","83.68 ","84.09 "
"IGIL","IGI LIFE INSURANCE LIMITED","2,020.00"," 40,183.04 ","2,020.00"," 40,183.04 ","100.00 ","100.00 "
"ILP","INTERLOOP LIMITED","1,618,651.00"," 130,468,312.15 ","1,211,133.00"," 98,720,173.72 ","74.82 ","75.67 "
"IMAGE","IMAGE PAKISTAN LIMITED","2,944,773.00"," 72,086,591.58 ","1,863,278.00"," 45,738,732.10 ","63.27 ","63.45 "
"IML","IMPERIAL LIMITED","6,609.00"," 161,280.27 ","5,752.00"," 140,631.28 ","87.03 ","87.20 "
"IMS","INTERMARKET SECURITIES LIMITED","2,478,008.00"," 31,881,266.85 ","1,831,830.00"," 23,637,283.91 ","73.92 ","74.14 "
"INDU","INDUS MOTOR COMPANY LIMITED","22,786.00"," 47,385,362.86 ","22,413.00"," 46,609,206.29 ","98.36 ","98.36 "
"INIL","INTERNATIONAL INDUSTRIES LIMITED","612,687.00"," 116,018,219.80 ","409,334.00"," 79,939,258.21 ","66.81 ","68.90 "
"INKL","INTERNATIONAL KNITWEAR LIMITED","188.00"," 13,529.42 ","188.00"," 13,529.42 ","100.00 ","100.00 "
