"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"SLGL","SECURE LOGISTICS-TRAX GROUP LIMITED","2,809,488.00"," 58,011,942.72 ","2,220,085.00"," 45,854,463.11 ","79.02 ","79.04 "
"SLYT","SALLY TEXTILE MILLS LIMITED","5,025.00"," 62,355.20 ","4,884.00"," 60,617.23 ","97.19 ","97.21 "
"SMCPL","SAFE MIX CONCRETE LIMITED","166,294.00"," 7,081,384.33 ","111,407.00"," 4,731,913.32 ","66.99 ","66.82 "
"SNAI","SANA INDUSTRIES LIMITED","1,699.00"," 45,520.44 ","1,566.00"," 41,963.20 ","92.17 ","92.19 "
"SNBL","SONERI BANK LIMITED","1,135,368.00"," 30,396,097.07 ","887,279.00"," 23,763,035.23 ","78.15 ","78.18 "
"SNGP","SUI NORTHERN GAS PIPELINES LIMITED","11,610,491.00"," 1,399,998,788.31 ","6,460,912.00"," 792,864,808.49 ","55.65 ","56.63 "
"SPEL","SPEL LIMITED","531,959.00"," 30,897,899.62 ","409,777.00"," 23,821,556.02 ","77.03 ","77.10 "
"SPL","SITARA PEROXIDE LIMITED","143,714.00"," 2,704,511.68 ","137,546.00"," 2,594,045.45 ","95.71 ","95.92 "
"SPWL","SAIF POWER LIMITED","2,092,493.00"," 22,201,018.50 ","1,907,403.00"," 20,252,817.29 ","91.15 ","91.22 "
"SRVI","SERVICE INDUSTRIES LIMITED","707.00"," 943,861.36 ","693.00"," 925,045.61 ","98.02 ","98.01 "
"SSGC","SUI SOUTHERN GAS COMPANY LIMITED","6,042,708.00"," 213,421,217.57 ","3,502,961.00"," 123,862,707.84 ","57.97 ","58.04 "
"SSML","SARITOW SPINNING MILLS LIMITED","7,657.00"," 164,855.21 ","7,657.00"," 164,855.21 ","100.00 ","100.00 "
"SSOM","S. S. OIL MILLS LIMITED","40,281.00"," 18,910,482.38 ","26,072.00"," 12,264,309.75 ","64.73 ","64.85 "
"STCL","SHABBIR TILES AND CERAMICS LIMITED","563,072.00"," 8,705,961.14 ","511,069.00"," 7,903,587.28 ","90.76 ","90.78 "
"STJT","SHAHTAJ TEXTILE LIMITED","2,289.00"," 229,680.88 ","2,289.00"," 229,680.88 ","100.00 ","100.00 "
"STL","SUPERNET TECHNOLOGIES LIMITED","471.00"," 769,889.00 ","471.00"," 769,889.00 ","100.00 ","100.00 "
"STML","SHAMS TEXTILE MILLS LIMITED","141.00"," 4,455.69 ","141.00"," 4,455.69 ","100.00 ","100.00 "
"STPL","SIDDIQSONS TIN PLATE LIMITED","1,351,876.00"," 11,239,051.47 ","1,226,992.00"," 10,206,846.94 ","90.76 ","90.82 "
"STYLERS","STYLERS INTERNATIONAL LIMITED","802.00"," 33,168.88 ","799.00"," 33,044.41 ","99.63 ","99.62 "
"SURC","SURAJ COTTON MILLS LIMITED","2,345.00"," 285,016.78 ","2,294.00"," 278,815.34 ","97.83 ","97.82 "
"SUTM","SUNRAYS TEXTILE MILLS LIMITED","780.00"," 108,926.23 ","741.00"," 103,344.53 ","95.00 ","94.88 "
"SYM","SYMMETRY GROUP LIMITED","1,055,090.00"," 14,299,664.98 ","838,954.00"," 11,440,666.06 ","79.51 ","80.01 "
"SYS","SYSTEMS LIMITED","1,866,804.00"," 280,301,277.59 ","1,200,163.00"," 185,588,943.67 ","64.29 ","66.21 "
"SZTM","SHAHZAD TEXTILE MILLS LIMITED","143.00"," 8,379.42 ","142.00"," 8,322.22 ","99.30 ","99.32 "
"TATM","TATA TEXTILE MILLS LIMITED","50,423.00"," 7,109,103.57 ","45,851.00"," 6,466,217.66 ","90.93 ","90.96 "
"TBL","TREET BATTERY LIMITED","1,422,993.00"," 16,733,045.79 ","1,221,835.00"," 14,373,133.85 ","85.86 ","85.90 "
"TCORP","TARIQ CORPORATION LIMITED","4,112.00"," 71,004.20 ","4,112.00"," 71,004.20 ","100.00 ","100.00 "
"TCORPCPS","TARIQ CORPORATION LTD-CUM&CONV.PREF.SH.","2.00"," 18.29 ","2.00"," 18.29 ","100.00 ","100.00 "
"TELE","TELECARD LIMITED","27,454,758.00"," 321,341,787.00 ","13,140,848.00"," 158,962,193.91 ","47.86 ","49.47 "
"TGL","TARIQ GLASS INDUSTRIES LTD.","148,977.00"," 29,137,357.53 ","102,738.00"," 20,064,566.75 ","68.96 ","68.86 "
"THALL","THAL LIMITED","41,156.00"," 24,076,743.39 ","39,067.00"," 22,858,686.15 ","94.92 ","94.94 "
"THCCL","THATTA CEMENT COMPANY LIMITED","22,131,816.00"," 2,134,249,399.77 ","9,763,109.00"," 941,781,468.29 ","44.11 ","44.13 "
"TICL","THE THAL INDUSTRIES CORPORATION LIMITED","21.00"," 13,012.43 ","19.00"," 11,829.31 ","90.48 ","90.91 "
"TOMCL","THE ORGANIC MEAT COMPANY LIMITED","5,859,082.00"," 354,377,360.10 ","2,931,274.00"," 177,709,182.38 ","50.03 ","50.15 "
"TOWL","TOWELLERS LIMITED","2,382.00"," 378,363.61 ","2,382.00"," 378,363.61 ","100.00 ","100.00 "
"TPL","TPL CORP LIMITED","2,560,636.00"," 18,775,946.73 ","1,478,827.00"," 10,949,655.37 ","57.75 ","58.32 "
"TPLI","TPL INSURANCE LIMITED","300,446.00"," 6,588,025.92 ","287,445.00"," 6,308,021.92 ","95.67 ","95.75 "
"TPLL","TPL LIFE INSURANCE LIMITED","2.00"," 68.98 ","2.00"," 68.98 ","100.00 ","100.00 "
"TPLP","TPL PROPERTIES LIMITED","8,921,135.00"," 85,191,931.86 ","4,306,828.00"," 43,012,133.87 ","48.28 ","50.49 "
"TPLRF1","TPL REIT FUND I","18,025.00"," 211,398.93 ","17,274.00"," 202,707.58 ","95.83 ","95.89 "
"TPLT","TPL TRAKKER LIMITED","73,555.00"," 530,829.02 ","61,874.00"," 446,362.98 ","84.12 ","84.09 "
"TREET","TREET CORPORATION LIMITED","15,605,715.00"," 499,059,184.62 ","7,270,131.00"," 244,318,941.38 ","46.59 ","48.96 "
"TRG","TRG PAKISTAN LIMITED  -  CLASS - (A)","33,992,432.00"," 2,665,475,470.63 ","14,234,241.00"," 1,120,948,276.49 ","41.87 ","42.05 "
"TRIPF","TRI-PACK FILMS LIMITED","41,960.00"," 5,747,957.15 ","31,826.00"," 4,362,287.04 ","75.85 ","75.89 "
"TRSM","TRUST MODARABA","511,139.00"," 34,858,542.61 ","289,634.00"," 19,774,717.87 ","56.66 ","56.73 "
"TSBL","TRUST SECURITIES AND BROKERAGE LTD.","1,331,190.00"," 32,162,468.36 ","1,060,321.00"," 25,778,373.36 ","79.65 ","80.15 "
"TSMF","TRI-STAR MUTUAL FUND LIMITED","19,427.00"," 284,872.77 ","17,022.00"," 251,338.07 ","87.62 ","88.23 "
"TSML","TANDLIANWALA SUGAR MILLS LIMITED","6,447.00"," 1,946,260.81 ","6,447.00"," 1,946,260.81 ","100.00 ","100.00 "
"TSPL","TRI - STAR POWER LIMITED","110,340.00"," 1,334,724.11 ","101,951.00"," 1,231,951.72 ","92.40 ","92.30 "
"UBDL","UNITED BRANDS LIMITED","6,670.00"," 182,305.94 ","3,810.00"," 103,827.94 ","57.12 ","56.95 "
"UBL","UNITED BANK LIMITED","1,339,618.00"," 484,779,302.05 ","789,257.00"," 301,979,944.73 ","58.92 ","62.29 "
"UBLPETF","UBL PAK. ENTERPRISE EXCHANGE TRADED FUND","46,000.00"," 1,716,450.00 ","43,000.00"," 1,603,605.00 ","93.48 ","93.43 "
"UCAPM","UNICAP MODARABA","507,367.00"," 3,353,883.02 ","341,138.00"," 2,265,726.96 ","67.24 ","67.56 "
"GVGL","GHANI VALUE GLASS LIMITED","11,215.00"," 656,249.36 ","11,215.00"," 656,249.36 ","100.00 ","100.00 "
"GWLC","GHARIBWAL CEMENT LIMITED","987,243.00"," 56,096,573.86 ","721,896.00"," 41,181,233.25 ","73.12 ","73.41 "
"HABSM","HABIB SUGAR MILLS LIMITED","57,138.00"," 4,873,209.60 ","48,226.00"," 4,095,242.62 ","84.40 ","84.04 "
"HAEL","HALA ENTERPRISES LIMITED","35,800.00"," 792,484.02 ","31,508.00"," 698,670.98 ","88.01 ","88.16 "
