"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"786","786 INVESTMENT LIMITED","58,204.00"," 734,228.39 ","47,566.00"," 600,964.19 ","81.72 ","81.85 "
"AABS","AL-ABBAS SUGAR MILLS LIMITED","56.00"," 58,862.10 ","54.00"," 56,797.02 ","96.43 ","96.49 "
"AATM","ALI ASGHAR TEXTILE MILLS LIMITED","1,246.00"," 54,715.65 ","1,246.00"," 54,715.65 ","100.00 ","100.00 "
"ABL","ALLIED BANK LIMITED","16,646.00"," 3,054,786.15 ","15,306.00"," 2,809,074.36 ","91.95 ","91.96 "
"ABOT","ABBOTT LABORATORIES (PAKISTAN) LIMITED","2,640.00"," 2,922,163.61 ","2,370.00"," 2,624,237.32 ","89.77 ","89.80 "
"ACIETF","ALFALAH CONSUMER INDEX EXC. TRADED FUND","12,501.00"," 221,528.00 ","12,501.00"," 221,528.00 ","100.00 ","100.00 "
"ACPL","ATTOCK CEMENT PAKISTAN LIMITED","102,116.00"," 30,452,946.86 ","83,005.00"," 24,999,201.78 ","81.29 ","82.09 "
"ADAMS","ADAM SUGAR MILLS LIMITED","619.00"," 44,203.09 ","442.00"," 32,486.81 ","71.41 ","73.49 "
"ADMM","ARTISTIC DENIM MILLS LIMITED","15,337.00"," 722,302.62 ","15,256.00"," 718,549.81 ","99.47 ","99.48 "
"AGHA","AGHA STEEL INDUSTRIES LIMITED","869,044.00"," 7,091,252.38 ","772,615.00"," 6,305,117.98 ","88.90 ","88.91 "
"AGIC","ASKARI GENERAL INSURANCE COMPANY LTD","24,794.00"," 1,067,278.17 ","23,654.00"," 1,018,413.17 ","95.40 ","95.42 "
"AGIL","AGRIAUTO INDUSTRIES LIMITED","1.00"," 141.99 ","1.00"," 141.99 ","100.00 ","100.00 "
"AGL","AGRITECH LIMITED","212,130.00"," 14,860,258.41 ","153,054.00"," 10,732,519.80 ","72.15 ","72.22 "
"AGP","AGP LIMITED","177,824.00"," 34,009,578.84 ","150,328.00"," 28,778,468.06 ","84.54 ","84.62 "
"AGSML","ABDULLAH SHAH GHAZI SUGAR MILLS LIMITED","200,820.00"," 1,722,911.95 ","134,085.00"," 1,154,622.74 ","66.77 ","67.02 "
"AGTL","AL-GHAZI TRACTORS LIMITED","35,387.00"," 14,653,142.87 ","22,976.00"," 9,546,421.18 ","64.93 ","65.15 "
"AHCL","ARIF HABIB CORPORATION LIMITED","1,914,859.00"," 29,995,025.98 ","1,559,417.00"," 24,442,268.59 ","81.44 ","81.49 "
"AHL","ARIF HABIB LIMITED","36,140.00"," 3,561,454.72 ","35,427.00"," 3,491,046.46 ","98.03 ","98.02 "
