"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"BTL","BLESSED TEXTILES LIMITED","1.00"," 300.02 ","1.00"," 300.02 ","100.00 ","100.00 "
"BUXL","BUXLY PAINTS LIMITED","1,542.00"," 235,984.73 ","1,519.00"," 232,503.03 ","98.51 ","98.52 "
"BWCL","BESTWAY CEMENT  LIMITED","10,190.00"," 6,082,652.94 ","10,116.00"," 6,038,391.51 ","99.27 ","99.27 "
"BWHL","BALUCHISTAN WHEELS LIMITED","9,063.00"," 1,660,034.80 ","8,463.00"," 1,550,365.98 ","93.38 ","93.39 "
"CASH","CALCORP LIMITED","1,093.00"," 69,964.83 ","1,091.00"," 69,846.83 ","99.82 ","99.83 "
"CCM","CRESCENT COTTON MILLS LIMITED","563.00"," 31,630.53 ","528.00"," 29,602.55 ","93.78 ","93.59 "
"CENI","CENTURY INSURANCE COMPANY LIMITED","12,956.00"," 663,456.10 ","12,556.00"," 643,456.10 ","96.91 ","96.99 "
"CEPB","CENTURY PAPER AND BOARD MILLS LIMITED","892,781.00"," 23,202,462.70 ","720,488.00"," 18,718,256.67 ","80.70 ","80.67 "
"CHAS","CHASHMA SUGAR MILLS LIMITED","725.00"," 51,056.25 ","725.00"," 51,056.25 ","100.00 ","100.00 "
"CHBL","CHENAB LIMITED","1,442,339.00"," 22,884,649.83 ","830,816.00"," 13,314,579.08 ","57.60 ","58.18 "
"CHCC","CHERAT CEMENT COMPANY LIMITED","123,171.00"," 40,685,415.20 ","98,790.00"," 32,751,050.47 ","80.21 ","80.50 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","1,724,307.00"," 26,072,173.30 ","1,027,546.00"," 15,462,390.71 ","59.59 ","59.31 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","45,315.00"," 174,971.54 ","40,293.00"," 155,834.22 ","88.92 ","89.06 "
"CLOV","CLOVER PAKISTAN LIMITED","93,176.00"," 3,918,785.90 ","88,632.00"," 3,727,449.41 ","95.12 ","95.12 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","1,050.00"," 17,504.50 ","1,050.00"," 17,504.50 ","100.00 ","100.00 "
"CNERGY","CNERGYICO PK LIMITED","19,402,128.00"," 140,998,478.59 ","8,522,353.00"," 64,745,435.79 ","43.92 ","45.92 "
"COLG","COLGATE PALMOLIVE (PAKISTAN) LIMITED","13,536.00"," 17,512,197.79 ","12,948.00"," 16,753,767.57 ","95.66 ","95.67 "
"CPHL","CITI PHARMA LIMITED","1,109,318.00"," 96,477,472.36 ","767,437.00"," 67,085,040.13 ","69.18 ","69.53 "
"CPPL","CHERAT PACKAGING LIMITED","77,700.00"," 8,241,742.04 ","74,418.00"," 7,896,090.38 ","95.78 ","95.81 "
"CRTM","THE CRESCENT TEXTILE MILLS LIMITED","75,683.00"," 1,794,733.76 ","68,257.00"," 1,618,303.18 ","90.19 ","90.17 "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","108,946.00"," 10,430,909.71 ","76,830.00"," 7,357,847.06 ","70.52 ","70.54 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","1,018,687.00"," 5,787,672.18 ","765,311.00"," 4,354,603.17 ","75.13 ","75.24 "
"CTM","COLONY TEXTILE MILLS LIMITED","15,485,480.00"," 124,881,018.40 ","7,247,961.00"," 57,737,149.87 ","46.80 ","46.23 "
"CWSM","CHAKWAL SPINNING MILLS LIMITED","905,695.00"," 24,412,007.34 ","763,210.00"," 20,578,826.17 ","84.27 ","84.30 "
"CYAN","CYAN LIMITED","212,174.00"," 9,899,196.91 ","160,589.00"," 7,490,320.83 ","75.69 ","75.67 "
"DAAG","DATA AGRO LIMITED","757.00"," 75,170.70 ","737.00"," 73,250.70 ","97.36 ","97.45 "
"DADX","DADEX ETERNIT LIMITED","2,400.00"," 146,866.52 ","2,400.00"," 146,866.52 ","100.00 ","100.00 "
"DBCI","DADABHOY CEMENT INDUSTRIES LIMITED","69,785.00"," 457,220.41 ","42,289.00"," 285,531.12 ","60.60 ","62.45 "
"DCL","DEWAN CEMENT LIMITED","11,370,879.00"," 163,089,048.74 ","8,183,216.00"," 117,657,742.25 ","71.97 ","72.14 "
"DCR","DOLMEN CITY REIT","402,350.00"," 12,597,415.70 ","380,103.00"," 11,901,557.36 ","94.47 ","94.48 "
"DEL","DAWOOD EQUITIES LIMITED","105,985.00"," 1,894,379.67 ","81,610.00"," 1,463,124.47 ","77.00 ","77.24 "
"DFML","DEWAN FAROOQUE MOTORS LIMITED","1,841,055.00"," 53,086,170.55 ","1,057,285.00"," 30,541,076.60 ","57.43 ","57.53 "
"DFSM","DEWAN FAROOQUE SPINNING MILLS LIMITED","124,188.00"," 729,812.65 ","103,149.00"," 607,023.42 ","83.06 ","83.18 "
"DGKC","D.G. KHAN CEMENT COMPANY LIMITED","872,982.00"," 200,773,547.48 ","381,904.00"," 89,214,062.30 ","43.75 ","44.44 "
"DHPL","DH PARTNERS LIMITED","703,464.00"," 32,408,931.98 ","548,218.00"," 25,263,456.00 ","77.93 ","77.95 "
"DIIL","DIAMOND INDUSTRIES LIMITED","104.00"," 5,724.03 ","104.00"," 5,724.03 ","100.00 ","100.00 "
"DINT","DIN TEXTILE MILLS LIMITED","111.00"," 7,775.99 ","111.00"," 7,775.99 ","100.00 ","100.00 "
"DLL","DAWOOD LAWRENCEPUR LIMITED","4,310.00"," 1,565,447.96 ","3,792.00"," 1,373,843.04 ","87.98 ","87.76 "
"DMC","D.M. CORPORATION LIMITED","6,201.00"," 1,426,706.26 ","5,670.00"," 1,304,740.66 ","91.44 ","91.45 "
