"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"BERG","BERGER PAINTS PAKISTAN LIMITED","132,423.00"," 13,543,720.67 ","130,450.00"," 13,341,413.26 ","98.51 ","98.51 "
"BFAGRO","BARKAT FRISIAN AGRO LIMITED","1,603,149.00"," 65,555,949.58 ","1,336,915.00"," 54,761,847.27 ","83.39 ","83.53 "
"BFBIO","BF BIOSCIENCES LIMITED","433,396.00"," 66,207,861.13 ","335,113.00"," 51,179,916.55 ","77.32 ","77.30 "
"BFMOD","B.F. MODARABA","49,487.00"," 866,791.47 ","43,347.00"," 766,499.13 ","87.59 ","88.43 "
"BGL","BALOCHISTAN GLASS LIMITED","398,258.00"," 5,413,715.01 ","323,634.00"," 4,399,367.48 ","81.26 ","81.26 "
"BHAT","BHANERO TEXTILE MILLS LIMITED","43.00"," 34,769.50 ","42.00"," 33,969.50 ","97.67 ","97.70 "
"BIFO","BIAFO INDUSTRIES LIMITED","9,713.00"," 1,593,014.25 ","8,563.00"," 1,404,896.14 ","88.16 ","88.19 "
"BIPL","BANKISLAMI PAKISTAN LIMITED","2,459,132.00"," 76,728,314.85 ","1,974,108.00"," 61,645,682.98 ","80.28 ","80.34 "
"BML","BANK MAKRAMAH LIMITED","23,975,787.00"," 159,119,825.29 ","16,197,527.00"," 107,673,664.56 ","67.56 ","67.67 "
"BNL","BUNNY`S LIMITED","278,621.00"," 32,869,144.16 ","183,089.00"," 21,609,226.31 ","65.71 ","65.74 "
"BNWM","BANNU WOOLLEN MILLS LIMITED","4,156.00"," 263,311.15 ","4,156.00"," 263,311.15 ","100.00 ","100.00 "
"BOK","THE BANK OF KHYBER","29,370.00"," 999,919.44 ","22,754.00"," 774,970.13 ","77.47 ","77.50 "
"BOP","THE BANK OF PUNJAB","56,543,666.00"," 2,032,829,395.94 ","17,798,747.00"," 684,711,822.91 ","31.48 ","33.68 "
"BPL","BURSHANE LPG (PAKISTAN) LIMITED","16,020.00"," 512,636.50 ","16,020.00"," 512,636.50 ","100.00 ","100.00 "
"BRRG","B.R.R. GUARDIAN LIMITED","115,029.00"," 4,760,356.56 ","108,533.00"," 4,496,616.25 ","94.35 ","94.46 "
"BTL","BLESSED TEXTILES LIMITED","26.00"," 7,987.50 ","26.00"," 7,987.50 ","100.00 ","100.00 "
"BUXL","BUXLY PAINTS LIMITED","2,141.00"," 320,672.03 ","2,134.00"," 319,617.59 ","99.67 ","99.67 "
"BWCL","BESTWAY CEMENT  LIMITED","17,435.00"," 10,083,581.22 ","14,792.00"," 8,552,803.59 ","84.84 ","84.82 "
"BWHL","BALUCHISTAN WHEELS LIMITED","41,614.00"," 7,563,640.24 ","34,870.00"," 6,331,222.04 ","83.79 ","83.71 "
"CASH","CALCORP LIMITED","1,995.00"," 122,207.90 ","1,840.00"," 113,036.20 ","92.23 ","92.50 "
"CCM","CRESCENT COTTON MILLS LIMITED","4,266.00"," 215,804.32 ","4,114.00"," 207,247.69 ","96.44 ","96.04 "
"CENI","CENTURY INSURANCE COMPANY LIMITED","2,026.00"," 105,349.75 ","2,026.00"," 105,349.75 ","100.00 ","100.00 "
"CEPB","CENTURY PAPER AND BOARD MILLS LIMITED","832,559.00"," 21,660,185.73 ","767,871.00"," 19,993,678.64 ","92.23 ","92.31 "
"CHAS","CHASHMA SUGAR MILLS LIMITED","2.00"," 141.20 ","2.00"," 141.20 ","100.00 ","100.00 "
"CHBL","CHENAB LIMITED","396,266.00"," 6,160,400.73 ","243,085.00"," 3,788,157.83 ","61.34 ","61.49 "
"CHCC","CHERAT CEMENT COMPANY LIMITED","321,620.00"," 106,244,115.38 ","307,081.00"," 101,453,077.05 ","95.48 ","95.49 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","44,960.00"," 636,805.60 ","44,724.00"," 633,420.40 ","99.48 ","99.47 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","281,823.00"," 1,023,409.43 ","246,302.00"," 894,467.89 ","87.40 ","87.40 "
"CLOV","CLOVER PAKISTAN LIMITED","136,264.00"," 5,587,578.53 ","108,816.00"," 4,462,244.75 ","79.86 ","79.86 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","4,946.00"," 79,081.80 ","895.00"," 15,831.74 ","18.10 ","20.02 "
"CNERGY","CNERGYICO PK LIMITED","23,887,634.00"," 176,057,035.08 ","12,795,110.00"," 97,589,716.10 ","53.56 ","55.43 "
"COLG","COLGATE PALMOLIVE (PAKISTAN) LIMITED","12,989.00"," 16,670,571.94 ","12,319.00"," 15,814,599.99 ","94.84 ","94.87 "
"CPHL","CITI PHARMA LIMITED","2,193,663.00"," 184,664,182.97 ","1,332,486.00"," 113,190,390.11 ","60.74 ","61.30 "
"CPPL","CHERAT PACKAGING LIMITED","181,106.00"," 18,020,490.28 ","129,064.00"," 12,787,374.10 ","71.26 ","70.96 "
"CRTM","THE CRESCENT TEXTILE MILLS LIMITED","167,163.00"," 3,852,335.31 ","119,671.00"," 2,760,568.35 ","71.59 ","71.66 "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","907,900.00"," 92,534,991.42 ","648,448.00"," 66,124,648.38 ","71.42 ","71.46 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","961,934.00"," 5,047,008.19 ","525,430.00"," 2,790,840.36 ","54.62 ","55.30 "
"CTM","COLONY TEXTILE MILLS LIMITED","786,203.00"," 4,920,877.01 ","598,366.00"," 3,747,776.22 ","76.11 ","76.16 "
"CWSM","CHAKWAL SPINNING MILLS LIMITED","1,727,282.00"," 52,928,537.73 ","1,311,659.00"," 40,206,645.66 ","75.94 ","75.96 "
"CYAN","CYAN LIMITED","660,580.00"," 32,036,809.82 ","480,851.00"," 23,323,279.83 ","72.79 ","72.80 "
"DAAG","DATA AGRO LIMITED","15,833.00"," 1,568,077.32 ","11,536.00"," 1,147,383.98 ","72.86 ","73.17 "
"DADX","DADEX ETERNIT LIMITED","3,157.00"," 195,023.15 ","1,921.00"," 119,235.29 ","60.85 ","61.14 "
"DBCI","DADABHOY CEMENT INDUSTRIES LIMITED","56,126.00"," 366,967.42 ","52,424.00"," 342,516.42 ","93.40 ","93.34 "
"DCL","DEWAN CEMENT LIMITED","2,933,581.00"," 40,027,476.97 ","2,029,454.00"," 27,663,559.39 ","69.18 ","69.11 "
"DCR","DOLMEN CITY REIT","498,132.00"," 15,568,230.74 ","485,760.00"," 15,183,613.47 ","97.52 ","97.53 "
"DEL","DAWOOD EQUITIES LIMITED","50,337.00"," 858,000.10 ","44,603.00"," 761,470.00 ","88.61 ","88.75 "
"DFML","DEWAN FAROOQUE MOTORS LIMITED","1,795,390.00"," 48,213,219.90 ","1,339,432.00"," 35,980,016.56 ","74.60 ","74.63 "
"DFSM","DEWAN FAROOQUE SPINNING MILLS LIMITED","462,784.00"," 2,472,779.31 ","345,941.00"," 1,848,363.85 ","74.75 ","74.75 "
"DGKC","D.G. KHAN CEMENT COMPANY LIMITED","1,565,824.00"," 352,823,017.23 ","764,007.00"," 174,142,325.20 ","48.79 ","49.36 "
"DHPL","DH PARTNERS LIMITED","5,444,316.00"," 260,532,502.23 ","3,241,006.00"," 156,472,446.20 ","59.53 ","60.06 "
"DINT","DIN TEXTILE MILLS LIMITED","225.00"," 15,677.95 ","225.00"," 15,677.95 ","100.00 ","100.00 "
"DLL","DAWOOD LAWRENCEPUR LIMITED","14,766.00"," 5,639,987.32 ","12,649.00"," 4,847,253.22 ","85.66 ","85.94 "
"DMC","D.M. CORPORATION LIMITED","4,840.00"," 1,130,811.23 ","2,632.00"," 626,685.88 ","54.38 ","55.42 "
"DMTM","DEWAN MUSHTAQ TEXTILE MILLS LIMITED","6,991.00"," 72,966.78 ","6,341.00"," 66,181.65 ","90.70 ","90.70 "
"DNCC","DANDOT CEMENT COMPANY LIMITED","87,663.00"," 1,421,952.10 ","86,143.00"," 1,397,815.88 ","98.27 ","98.30 "
"DOL","DESCON OXYCHEM LIMITED","183,704.00"," 5,857,094.97 ","149,031.00"," 4,757,017.51 ","81.13 ","81.22 "
"DSIL","D. S. INDUSTRIES LIMITED","615,480.00"," 7,759,861.29 ","537,884.00"," 6,786,570.41 ","87.39 ","87.46 "
"DSL","DOST STEELS LIMITED","22,349,080.00"," 196,681,880.02 ","22,278,530.00"," 196,071,370.42 ","99.68 ","99.69 "
"DWAE","DEWAN AUTOMOTIVE ENGINEERING LIMITED","5,241.00"," 119,457.67 ","4,367.00"," 99,425.99 ","83.32 ","83.23 "
"DWSM","DEWAN SUGAR MILLS LIMITED","89,654.00"," 668,596.08 ","84,873.00"," 632,676.39 ","94.67 ","94.63 "
"DYNO","DYNEA PAKISTAN LIMITED","49,585.00"," 13,385,599.25 ","49,179.00"," 13,275,985.25 ","99.18 ","99.18 "
"ECOP","ECOPACK LIMITED","150,881.00"," 8,317,644.86 ","100,274.00"," 5,530,457.14 ","66.46 ","66.49 "
"EFERT","ENGRO FERTILIZERS LIMITED","1,083,003.00"," 222,193,022.36 ","898,066.00"," 185,569,318.25 ","82.92 ","83.52 "
"EFUG","EFU GENERAL INSURANCE LIMITED","8,607.00"," 1,074,691.09 ","8,501.00"," 1,061,740.14 ","98.77 ","98.79 "
"EFUL","EFU LIFE ASSURANCE LIMITED","1,061.00"," 164,492.90 ","1,061.00"," 164,492.90 ","100.00 ","100.00 "
"ELCM","ELAHI COTTON MILLS LIMITED","3.00"," 539.37 ","3.00"," 539.37 ","100.00 ","100.00 "
"ELSM","ELLCOT SPINNING MILLS LIMITED","1.00"," 106.00 ","1.00"," 106.00 ","100.00 ","100.00 "
"EMCO","EMCO INDUSTRIES LIMITED","96,772.00"," 5,711,083.10 ","70,221.00"," 4,128,352.09 ","72.56 ","72.29 "
"ENGROH","ENGRO HOLDINGS LIMITED","1,758,465.00"," 416,206,658.09 ","914,805.00"," 216,434,833.29 ","52.02 ","52.00 "
"EPCL","ENGRO POLYMER & CHEMICALS LIMITED","840,606.00"," 23,392,093.17 ","758,378.00"," 21,104,535.27 ","90.22 ","90.22 "
"EPCLPS","ENGRO POLYMER & CHEMICALS LTD - PREF.SH.","56.00"," 694.40 ","56.00"," 694.40 ","100.00 ","100.00 "
"EPQL","ENGRO POWERGEN QADIRPUR LIMITED","313,896.00"," 9,190,033.99 ","313,681.00"," 9,183,820.49 ","99.93 ","99.93 "
"ESBL","ESCORTS INVESTMENT BANK LIMITED","138,795.00"," 1,859,145.02 ","95,842.00"," 1,290,391.50 ","69.05 ","69.41 "
"EXIDE","EXIDE PAKISTAN LIMITED","4,803.00"," 2,948,644.30 ","4,421.00"," 2,712,812.77 ","92.05 ","92.00 "
"FABL","FAYSAL BANK LIMITED","1,356,616.00"," 114,576,224.40 ","839,121.00"," 72,181,602.56 ","61.85 ","63.00 "
"FANM","FIRST AL-NOOR MODARABA","142,236.00"," 1,193,667.68 ","105,307.00"," 889,583.20 ","74.04 ","74.53 "
"FASM","FAISAL SPINNING MILLS LIMITED","748.00"," 230,297.98 ","432.00"," 135,347.98 ","57.75 ","58.77 "
"FATIMA","FATIMA FERTILIZER COMPANY LIMITED","2,112,473.00"," 264,113,068.89 ","1,472,484.00"," 189,565,925.79 ","69.70 ","71.77 "
"FCCL","FAUJI CEMENT COMPANY LIMITED","12,277,021.00"," 621,323,360.33 ","8,463,662.00"," 430,705,198.10 ","68.94 ","69.32 "
"FCEL","FIRST CAPITAL EQUITIES LIMITED","373,388.00"," 2,373,412.45 ","314,990.00"," 2,005,551.96 ","84.36 ","84.50 "
"FCEPL","FRIESLANDCAMPINA ENGRO PAKISTAN LIMITED","1,604,024.00"," 140,883,876.94 ","1,042,090.00"," 91,720,646.11 ","64.97 ","65.10 "
"FCIBL","FIRST CREDIT AND INVESTMENT BANK LIMITED","8,603.00"," 122,130.90 ","8,477.00"," 120,331.66 ","98.54 ","98.53 "
"FCL","FAST CABLES LIMITED","985,321.00"," 23,130,197.56 ","678,025.00"," 15,907,687.79 ","68.81 ","68.77 "
"FCSC","FIRST CAPITAL SECURITIES CORPORATION LTD","28,604,798.00"," 239,284,600.47 ","13,135,019.00"," 109,944,634.30 ","45.92 ","45.95 "
"FDPL","FIRST DAWOOD PROPERTIES LIMITED","1,124,592.00"," 7,700,009.04 ","955,503.00"," 6,540,956.83 ","84.96 ","84.95 "
"FECM","FIRST ELITE CAPITAL MODARABA","6,849.00"," 313,615.71 ","5,849.00"," 267,825.71 ","85.40 ","85.40 "
"FECTC","FECTO CEMENT LIMITED","932,605.00"," 114,004,038.16 ","582,957.00"," 71,459,083.48 ","62.51 ","62.68 "
"FEM","FIRST EQUITY MODARABA","75,977.00"," 748,709.99 ","74,819.00"," 737,654.69 ","98.48 ","98.52 "
"FEROZ","FEROZSONS LABORATORIES LIMITED","11,572.00"," 4,664,020.07 ","11,094.00"," 4,471,122.10 ","95.87 ","95.86 "
"FFC","FAUJI FERTILIZER COMPANY LIMITED","1,087,014.00"," 503,252,180.07 ","761,977.00"," 361,303,386.90 ","70.10 ","71.79 "
"FFL","FAUJI FOODS LIMITED","5,955,832.00"," 109,567,401.75 ","3,577,058.00"," 65,995,188.16 ","60.06 ","60.23 "
"FFLM","FIRST FIDELITY LEASING MODARABA","990,502.00"," 8,331,497.38 ","723,558.00"," 6,217,854.83 ","73.05 ","74.63 "
"FHAM","FIRST HABIB MODARABA","151,663.00"," 5,138,627.40 ","140,713.00"," 4,778,195.40 ","92.78 ","92.99 "
"FIBLM","FIRST IBL MODARABA","15,281.00"," 172,024.48 ","11,880.00"," 134,986.90 ","77.74 ","78.47 "
"FIL","FATEH INDUSTRIES LIMITED","1.00"," 178.00 ","1.00"," 178.00 ","100.00 ","100.00 "
"FIMM","FIRST IMROOZ MODARABA","143.00"," 35,401.44 ","131.00"," 32,161.68 ","91.61 ","90.85 "
"FLYNG","FLYING CEMENT COMPANY LIMITED","2,129,067.00"," 106,436,058.40 ","1,362,674.00"," 68,665,391.74 ","64.00 ","64.51 "
"FML","FEROZE1888 MILLS LIMITED","18,103.00"," 1,216,647.00 ","17,501.00"," 1,175,907.10 ","96.67 ","96.65 "
"FNEL","FIRST NATIONAL EQUITIES LIMITED","40,020,133.00"," 654,837,653.15 ","16,125,180.00"," 264,737,778.91 ","40.29 ","40.43 "
"FPJM","FIRST PUNJAB MODARABA","918,782.00"," 8,622,338.76 ","586,694.00"," 5,511,007.86 ","63.86 ","63.92 "
