Symbol,Date,Trade Volume,Trade Value,UIN Settlement Volume,UIN Settlement Value,UIN % Volume,UIN % Value
BBFL,2025-11-30,360887.0,17224478.06,327596.0,15637851.17,90.77522881123454,90.78853429129684
BCL,2025-11-30,67436.0,6006197.25,55152.0,4914245.35,81.78421021412895,81.81957976821357
BECO,2025-11-30,9436666.0,661174497.58,4175197.0,293148353.7,44.244407929664995,44.33751676342143
BELA,2025-11-30,1075.0,115906.86,1073.0,115692.66,99.81395348837209,99.81519644307507
BERG,2025-11-30,64296.0,6458958.43,60985.0,6125139.17,94.85037949483637,94.83168588840105
BFAGRO,2025-11-30,359001.0,13594618.38,310981.0,11769010.39,86.62399269082816,86.57109792294148
BFBIO,2025-11-30,218582.0,33452849.03,154899.0,23686533.57,70.86539605273994,70.80572882972773
BFMOD,2025-11-30,30154.0,505202.95,21147.0,355056.87,70.12999933673808,70.2800468603756
BGL,2025-11-30,646373.0,7964767.44,504459.0,6267713.6,78.04456559912,78.69298943397648
BHAT,2025-11-30,97.0,78381.52,95.0,76741.52,97.9381443298969,97.90767007325196
BIFO,2025-11-30,11178.0,1835883.62,10393.0,1707047.62,92.97727679370192,92.98234383724171
BIPL,2025-11-30,597331.0,18416974.93,535318.0,16500002.06,89.61831882155789,89.59127176267488
BML,2025-11-30,18582020.0,102176355.9,15089036.0,83065316.39,81.20234506259277,81.2960255416586
BNL,2025-11-30,464452.0,54267926.78,335873.0,39283089.12,72.31597667789137,72.38730397653123
BNWM,2025-11-30,13209.0,819258.2,13209.0,819258.2,100.0,100.0
BOK,2025-11-30,8494.0,285409.7,7994.0,268879.7,94.1134918766188,94.20832578570385
BOP,2025-11-30,55265405.0,1891334917.99,17916837.0,644266036.88,32.41962489915708,34.06409043432076
BPL,2025-11-30,20347.0,631242.79,20243.0,628069.75,99.48886813780902,99.49733445668345
BRRG,2025-11-30,6132.0,245997.04,6132.0,245997.04,100.0,100.0
BTL,2025-11-30,13548.0,4183226.05,13529.0,4177389.13,99.8597578978447,99.86046845352763
BUXL,2025-11-30,34.0,5209.1,31.0,4760.0,91.17647058823529,91.37854907757578
BWCL,2025-11-30,10497.0,5878020.47,9409.0,5269006.41,89.63513384776603,89.63912999098488
BWHL,2025-11-30,16173.0,2890470.46,15168.0,2711076.91,93.78593952884438,93.79362105641447
CASH,2025-11-30,1188.0,67260.42,1102.0,62537.22,92.76094276094277,92.97774233345555
CCM,2025-11-30,738.0,38393.0,738.0,38393.0,100.0,100.0
CENI,2025-11-30,6448.0,359541.14,6046.0,337121.19,93.76550868486352,93.76428800331445
CEPB,2025-11-30,2822345.0,87712296.99,2058807.0,63945450.22,72.94668086289947,72.90363200417652
CFL,2025-11-30,2.0,127.66,2.0,127.66,100.0,100.0
CHAS,2025-11-30,615.0,43625.97,615.0,43625.97,100.0,100.0
CHBL,2025-11-30,2805904.0,33268406.9,1902701.0,22778179.71,67.81062359938187,68.46790042717676
CHCC,2025-11-30,106240.0,32878433.34,86996.0,27176832.77,81.8862951807229,82.6585393803925
CJPL,2025-11-30,39617.0,984634.62,39027.0,970044.02,98.51074033874346,98.51817113641607
CLCPS,2025-11-30,1276187.0,4834931.87,891684.0,3419509.06,69.87095151415897,70.72507228524815
CLOV,2025-11-30,80257.0,3019418.99,77565.0,2918060.4,96.64577544637851,96.64310947451516
CLVL,2025-11-30,3162.0,52666.07,2911.0,48474.9,92.06198608475648,92.04199212130315
CNERGY,2025-11-30,24463363.0,177532718.35,10477817.0,83774173.62,42.83064842720112,47.18801942458963
COLG,2025-11-30,8489.0,10837278.88,8127.0,10374923.34,95.73565791023678,95.73365652836276
CPHL,2025-11-30,1608660.0,132205605.76,1168361.0,96448160.07,72.62945557171807,72.95315468323452
CPPL,2025-11-30,67981.0,6678882.42,50197.0,4949690.29,73.83974934172784,74.10955873662468
CRTM,2025-11-30,226219.0,5245997.98,224349.0,5204141.03,99.17336740061621,99.2021165437048
CSAP,2025-11-30,329366.0,32156483.09,286026.0,27927362.16,86.84138617829406,86.8483101271881
CSIL,2025-11-30,514408.0,2623507.98,462128.0,2358062.48,89.83686101304801,89.88203954310062
CTM,2025-11-30,3156624.0,23635461.91,1731930.0,13089034.95,54.8665282909843,55.37879902597596
CWSM,2025-11-30,1194051.0,46569598.75,779843.0,30516780.53,65.31069443432483,65.52940405139309
CYAN,2025-11-30,120089.0,6114185.12,94348.0,4819037.19,78.56506424401903,78.81732553756893
DAAG,2025-11-30,2003.0,185661.84,1698.0,157609.58,84.77284073889166,84.89067004829856
DADX,2025-11-30,2.0,119.97,1.0,61.95,50.0,51.63790947736935
DBCI,2025-11-30,120840.0,807720.22,99455.0,665418.85,82.30304534922212,82.3823439754919
DCL,2025-11-30,2995205.0,36073422.14,2495486.0,30058049.48,83.31603346014714,83.3246409596115
DCR,2025-11-30,340383.0,10885022.15,303246.0,9697520.87,89.08964313728947,89.09050194261661
DEL,2025-11-30,1480061.0,40611752.24,1039892.0,28574530.07,70.26007711844309,70.36024917402086
DFML,2025-11-30,2283568.0,59136692.87,1485042.0,38545223.76,65.03165222143593,65.17987714452318
DFSM,2025-11-30,374621.0,2025509.63,356692.0,1928923.19,95.21409638007479,95.23149934369852
DGKC,2025-11-30,2326490.0,483946921.55,1218069.0,262560936.92,52.356511311030786,54.25407730233345
DHPL,2025-11-30,785286.0,43073769.33,604722.0,33201190.23,77.00659377602554,77.07983477284411
DIIL,2025-11-30,51.0,2943.1,51.0,2943.1,100.0,100.0
DINT,2025-11-30,310.0,21592.23,310.0,21592.23,100.0,100.0
DLL,2025-11-30,85081.0,41422518.47,44955.0,21846093.86,52.83788389887284,52.73965627131507
DMC,2025-11-30,2810.0,657741.49,1448.0,326262.11,51.530249110320284,49.60339509675754
DMTM,2025-11-30,22502.0,203444.43,15436.0,136109.39,68.59834681361656,66.90249027707469
DNCC,2025-11-30,534532.0,10847757.98,400768.0,8128316.65,74.9754925804255,74.93084437342876
DOL,2025-11-30,437737.0,13586017.48,229380.0,7118663.15,52.40132773788827,52.39698212135673
DSIL,2025-11-30,466909.0,5987143.11,391942.0,5034111.75,83.9439805186878,84.08203474528271
DSL,2025-11-30,82628.0,651448.6,82171.0,647778.71,99.44691872004647,99.43665701330849
DWAE,2025-11-30,4512.0,101319.37,4083.0,91760.34,90.49202127659575,90.56544666631859
DWSM,2025-11-30,105131.0,783757.9,103580.0,772083.06,98.52469775803522,98.5104022555945
DWTM,2025-11-30,1756.0,11738.08,1250.0,8375.0,71.18451025056947,71.34897700475716
DYNO,2025-11-30,45857.0,12440437.79,45807.0,12426825.09,99.89096539241555,99.89057700195293
ECOP,2025-11-30,107557.0,5970269.12,71119.0,3942478.34,66.122149186013,66.0351863669422
EFERT,2025-11-30,2286026.0,493673165.86,1717108.0,371170058.56,75.11323143306332,75.18538260296278
EFUG,2025-11-30,72.0,8862.5,72.0,8862.5,100.0,100.0
EFUL,2025-11-30,306.0,46678.17,303.0,46214.97,99.01960784313727,99.00767317998971
ELCM,2025-11-30,12.0,2158.0,11.0,1979.99,91.66666666666666,91.75115848007415
ELSM,2025-11-30,575.0,63250.0,575.0,63250.0,100.0,100.0
EMCO,2025-11-30,79321.0,4374189.58,78685.0,4339942.78,99.19819467732378,99.21707097112147
ENGROH,2025-11-30,2343584.0,520929194.88,1315359.0,292281820.27,56.125959214604634,56.10778262050168
EPCL,2025-11-30,1151611.0,32176929.86,984084.0,27476907.02,85.45281349344526,85.39319052361573
EPCLPS,2025-11-30,1000.0,12000.0,1000.0,12000.0,100.0,100.0
EPQL,2025-11-30,131094.0,3814447.83,130789.0,3805522.28,99.7673425175828,99.76600676171785
ESBL,2025-11-30,47936.0,509281.17,43270.0,460818.31,90.26618825100134,90.48406600228319
EXIDE,2025-11-30,51302.0,34269744.43,34699.0,23247619.98,67.63673930840903,67.8371559714605
FABL,2025-11-30,707081.0,59599236.67,492947.0,42075853.94,69.71577513750192,70.59797455624023
FANM,2025-11-30,79907.0,634484.85,76743.0,610482.19,96.0403969614677,96.21698453477651
FASM,2025-11-30,157.0,44960.29,129.0,36849.68,82.16560509554141,81.96050336863931
FATIMA,2025-11-30,813876.0,103421183.95,555607.0,71433555.35,68.2667875696052,69.07052561352928
FCCL,2025-11-30,8346860.0,418705004.79,4954580.0,254272173.87,59.358609105699635,60.72823848798494
FCEL,2025-11-30,238049.0,1570092.06,217214.0,1434340.41,91.24760028397515,91.35390506974475
FCEPL,2025-11-30,3406624.0,286629712.27,3328203.0,279964020.09,97.69798486712945,97.67445875474311
FCIBL,2025-11-30,12991.0,187311.18,11971.0,173176.88,92.14841043799554,92.45410765123577
FCL,2025-11-30,1344036.0,31026344.47,1251716.0,28897487.58,93.13113636837109,93.13855071757347
FCSC,2025-11-30,6560089.0,52454175.26,4001821.0,32020695.08,61.00254127649792,61.04508348722057
FDPL,2025-11-30,6807353.0,49812308.17,3174884.0,23527145.88,46.639038698301675,47.23159143661099
FECM,2025-11-30,26064.0,687946.8,22443.0,592909.16,86.1072744014733,86.18532130682198
FECTC,2025-11-30,3813104.0,656303605.22,2298116.0,397423962.23,60.26890428375413,60.5548954887699
FEM,2025-11-30,460472.0,6394211.45,309330.0,4291258.05,67.17672301464584,67.11160685810601
